entry_date,exit_date,position,regime,entry_spread,exit_spread,pnl,carry_pnl,curve_pnl
2012-01-31,2012-02-29,bear_steepener,high_uncertainty,0.01781438159082961,0.019429664976292005,0.24765985169565347,-0.07539682539682539,0.32305667709247865
2012-02-29,2012-03-30,bear_steepener,high_uncertainty,0.019429664976292005,0.0183181542380004,-0.30960373495990795,-0.0873015873015873,-0.2223021476583209
2012-03-30,2012-04-27,bear_steepener,high_uncertainty,0.0183181542380004,0.0202140149142538,0.3037753098538548,-0.07539682539682539,0.37917213525067994
2012-04-27,2012-05-31,bear_steepener,high_uncertainty,0.0202140149142538,0.0230147112345081,0.4688694227810192,-0.09126984126984126,0.5601392640508601
2012-05-31,2012-06-29,bear_steepener,high_uncertainty,0.0230147112345081,0.02161600419772121,-0.3591064867224575,-0.07936507936507936,-0.2797414073573784
2012-06-29,2012-07-31,bear_steepener,high_uncertainty,0.02161600419772121,0.013944082284788495,-1.617717715919876,-0.08333333333333333,-1.5343843825865424
2012-07-31,2012-08-31,bear_steepener,high_uncertainty,0.013944082284788495,0.012089745764066698,-0.4621371454142005,-0.09126984126984126,-0.3708673041443594
2012-08-31,2012-09-28,bear_steepener,high_uncertainty,0.012089745764066698,0.0155099546940516,0.6086449606001553,-0.07539682539682539,0.6840417859969804
2012-09-28,2012-10-30,bear_steepener,high_uncertainty,0.0155099546940516,0.014124965869773992,-0.3603310981888549,-0.08333333333333333,-0.27699776485552163
2012-10-30,2012-11-30,bear_steepener,high_uncertainty,0.014124965869773992,0.020361095232371396,1.1678607931544014,-0.07936507936507936,1.2472258725194807
2012-11-30,2012-12-28,bear_steepener,high_uncertainty,0.020361095232371396,0.01694660872010839,-0.7543258738811721,-0.07142857142857142,-0.6828973024526008
2012-12-28,2013-01-30,bear_steepener,high_uncertainty,0.01694660872010839,0.019200101043048895,0.3713333852230215,-0.07936507936507936,0.4506984645881007
