date,std_4y,curve_spread,spread_change_bps,position_size,execution_style,regime,daily_pnl,curve_pnl,carry_pnl,cumulative,ym
2012-02-01,0.4197814207650273,0.018425073554928506,6.106919640988945,0.2435856071018965,collect_carry,low_uncertainty,2.982423024758633,2.975115456545576,0.007307568213056895,2.982423024758633,2012-02
2012-02-02,0.4185245901639344,0.018080054815202,-3.4501873972650476,0.24285630887704054,collect_carry,low_uncertainty,-1.668513863201435,-1.675799552467746,0.007285689266311216,1.3139091615571983,2012-02
2012-02-03,0.4172677595628415,0.016805811289578296,-12.742435256237055,0.24212701065218456,collect_carry,low_uncertainty,-6.163311703723798,-6.170575514043363,0.007263810319565536,-4.849402542166599,2012-02
2012-02-06,0.4134972677595628,0.017438862170746,6.330508811677044,0.2399391159776166,collect_carry,low_uncertainty,3.0450715494039327,3.037873375924604,0.007198173479328498,-1.8043309927626665,2012-02
2012-02-07,0.4298907103825137,0.017822851661239106,3.8398949049310573,0.24945170151921636,collect_carry,low_uncertainty,1.92322018642562,1.9157366353800436,0.00748355104557649,0.11888919366295347,2012-02
2012-02-08,0.4280327868852459,0.020083335011272796,22.604833500336902,0.24837360849116835,collect_carry,low_uncertainty,11.236339339896185,11.22888813164145,0.00745120825473505,11.355228533559139,2012-02
2012-02-09,0.4281420765027322,0.022243561209429788,21.60226198156992,0.24843702572811238,collect_carry,low_uncertainty,10.741056542173263,10.73360343140142,0.007453110771843371,22.096285075732403,2012-02
2012-02-10,0.4375956284153005,0.02078118520157249,-14.623760078572994,0.2684540920054198,standard,medium_uncertainty,-7.862354630877056,-7.851616467196839,-0.010738163680216793,14.233930444855346,2012-02
2012-02-13,0.4463934426229508,0.019480813834782187,-13.00371366790301,0.2924711608195431,standard,medium_uncertainty,-7.618121309265886,-7.6064224628331045,-0.011698846432781724,6.61580913558946,2012-02
2012-02-14,0.446311475409836,0.0180109282366588,-14.698855981233883,0.29224739930885246,standard,medium_uncertainty,-8.603094762634301,-8.591404866661946,-0.011689895972354099,-1.987285627044841,2012-02
2012-02-15,0.4462295081967213,0.0183970856444457,3.8615740778689958,0.29202363779816204,standard,medium_uncertainty,2.243660874180848,2.2553418196927746,-0.011680945511926482,0.256375247136007,2012-02
2012-02-16,0.434863387978142,0.0179833467364532,-4.137389079924975,0.26099537498240016,standard,medium_uncertainty,-2.170118643725509,-2.159678828726213,-0.010439814999296007,-1.9137433965895019,2012-02
2012-02-17,0.4334426229508197,0.0185827126699272,5.99365933473997,0.25711684213043023,standard,medium_uncertainty,3.0718568482226156,3.082141521907833,-0.010284673685217209,1.1581134516331137,2012-02
2012-02-22,0.424207650273224,0.017968408459150903,-6.143042107762953,0.2461540051981284,collect_carry,low_uncertainty,-3.016884217697263,-3.024268837853207,0.007384620155943852,-1.8587707660641493,2012-02
2012-02-23,0.4540983606557378,0.0195050965578438,15.366880986928955,0.31350474282445884,standard,medium_uncertainty,9.622639953929477,9.635180143642456,-0.012540189712978354,7.763869187865328,2012-02
2012-02-24,0.4609836065573769,0.020000879154983997,4.957825971401986,0.3323007097224677,standard,medium_uncertainty,3.2816861495658274,3.294978177954726,-0.01329202838889871,11.045555337431155,2012-02
