meeting_number,meeting_year,meeting_month,publication_date,decision,url
102,2004,11,2004-11-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15862
103,2004,12,2004-12-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15863
104,2005,1,2005-01-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15864
105,2005,2,2005-02-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15865
106,2005,3,2005-03-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15866
107,2005,4,2005-04-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15867
108,2005,5,2005-05-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15868
109,2005,6,2005-06-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15869
110,2005,7,2005-07-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15870
111,2005,8,2005-08-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15871
112,2005,9,2005-09-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15872
113,2005,10,2005-10-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15873
114,2005,11,2005-11-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15874
115,2005,12,2005-12-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15875
116,2006,1,2006-01-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15876
117,2006,3,2006-03-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15877
118,2006,4,2006-04-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15878
119,2006,5,2006-05-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15879
120,2006,7,2006-07-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15880
