date,curve_spread,spread_change_bps,std_4y,prob_high_vol,position_type,position_size,execution_style,daily_pnl,curve_pnl,carry_pnl,year_month
2012-02-01,0.018425073554928506,6.106919640988945,0.4197814207650273,1.0,bear_steepener,0.2435856071018965,collect_carry,2.979987168687614,2.975115456545576,0.00487171214203793,2012-02
2012-02-02,0.018080054815202,-3.4501873972650476,0.4185245901639344,1.0,bear_steepener,0.24285630887704054,collect_carry,-1.6709424262902053,-1.675799552467746,0.004857126177540811,2012-02
2012-02-03,0.016805811289578296,-12.742435256237055,0.4172677595628415,1.0,bear_steepener,0.24212701065218456,collect_carry,-6.165732973830319,-6.170575514043363,0.004842540213043691,2012-02
2012-02-06,0.017438862170746,6.330508811677044,0.4134972677595628,1.0,bear_steepener,0.2399391159776166,collect_carry,3.0426721582441565,3.037873375924604,0.004798782319552332,2012-02
2012-02-07,0.017822851661239106,3.8398949049310573,0.4298907103825137,1.0,bear_steepener,0.24945170151921636,collect_carry,1.920725669410428,1.9157366353800436,0.004989034030384328,2012-02
2012-02-08,0.020083335011272796,22.604833500336902,0.4280327868852459,1.0,bear_steepener,0.24837360849116835,collect_carry,11.233855603811273,11.22888813164145,0.004967472169823367,2012-02
2012-02-09,0.022243561209429788,21.60226198156992,0.4281420765027322,1.0,bear_steepener,0.24843702572811238,collect_carry,10.738572171915981,10.73360343140142,0.004968740514562248,2012-02
2012-02-10,0.02078118520157249,-14.623760078572994,0.4375956284153005,1.0,bear_steepener,0.2684540920054198,standard,-7.86503917179711,-7.851616467196839,-0.013422704600270991,2012-02
2012-02-13,0.019480813834782187,-13.00371366790301,0.4463934426229508,1.0,bear_steepener,0.2924711608195431,standard,-7.621046020874082,-7.6064224628331045,-0.014623558040977156,2012-02
2012-02-14,0.0180109282366588,-14.698855981233883,0.446311475409836,1.0,bear_steepener,0.29224739930885246,standard,-8.60601723662739,-8.591404866661946,-0.014612369965442623,2012-02
2012-02-15,0.0183970856444457,3.8615740778689958,0.4462295081967213,1.0,bear_steepener,0.29202363779816204,standard,2.2407406378028667,2.2553418196927746,-0.014601181889908103,2012-02
2012-02-16,0.0179833467364532,-4.137389079924975,0.434863387978142,1.0,bear_steepener,0.26099537498240016,standard,-2.172728597475333,-2.159678828726213,-0.013049768749120009,2012-02
2012-02-17,0.0185827126699272,5.99365933473997,0.4334426229508197,1.0,bear_steepener,0.25711684213043023,standard,3.0692856798013115,3.082141521907833,-0.012855842106521513,2012-02
2012-02-22,0.017968408459150903,-6.143042107762953,0.424207650273224,1.0,bear_steepener,0.2461540051981284,collect_carry,-3.0193457577492446,-3.024268837853207,0.004923080103962568,2012-02
2012-02-23,0.0195050965578438,15.366880986928955,0.4540983606557378,1.0,bear_steepener,0.31350474282445884,standard,9.619504906501234,9.635180143642456,-0.01567523714122294,2012-02
2012-02-24,0.020000879154983997,4.957825971401986,0.4609836065573769,1.0,bear_steepener,0.3323007097224677,standard,3.278363142468603,3.294978177954726,-0.01661503548612339,2012-02
2012-02-27,0.018431530700274687,-15.693484547093101,0.4589071038251366,1.0,bear_steepener,0.3266320847849732,standard,-10.26832275455481,-10.251991150315561,-0.01633160423924866,2012-02
2012-02-28,0.018517294092614198,0.8576339233951069,0.4587158469945354,1.0,bear_steepener,0.32610997459336144,standard,0.5430604552078984,0.5593659539375664,-0.016305498729668074,2012-02
2012-02-29,0.019429664976292005,9.123708836778071,0.4585245901639344,1.0,bear_steepener,0.3255878644017503,standard,5.9248583579598115,5.941137751179899,-0.016279393220087517,2012-02
2012-03-01,0.020692201478061792,12.62536501769787,0.4,1.0,bear_steepener,0.2321070872150329,collect_carry,5.86551554031315,5.86087339856885,0.004642141744300658,2012-03
2012-03-02,0.021400866183713493,7.086647056517014,0.4,1.0,bear_steepener,0.2321070872150329,collect_carry,3.2943641545626026,3.289722012818302,0.004642141744300658,2012-03
2012-03-05,0.019873339089344397,-15.275270943690966,0.4000000000000001,1.0,bear_steepener,0.23210708721503293,collect_carry,-7.086355148576774,-7.0909972903210745,0.004642141744300658,2012-03
2012-03-06,0.018885159564172194,-9.88179525172203,0.4,1.0,bear_steepener,0.2321070872150329,collect_carry,-4.582627282920786,-4.587269424665086,0.004642141744300658,2012-03
