date,std_4y,prob_regime_0,prob_regime_1,prob_high_vol,prob_low_vol,model_run_release_date,model_n_obs,model_aic,model_bic,is_ad_hoc_date,regime_high_mean,regime_low_mean
2001-12-05,0.5414520547945205,1.6658067766626305e-48,1.0000000000000016,1.0000000000000016,1.6658067766626305e-48,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2001-12-06,0.5417808219178083,2.2381924683411093e-50,1.0000000000000013,1.0000000000000013,2.2381924683411093e-50,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2001-12-07,0.5294794520547946,3.648149237200954e-12,0.9999999999963533,0.9999999999963533,3.648149237200954e-12,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2001-12-10,0.455972602739726,1.3427957278332278e-19,1.0000000000000013,1.0000000000000013,1.3427957278332278e-19,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2001-12-11,0.4456164383561644,5.009622459405706e-09,0.999999994990379,0.999999994990379,5.009622459405706e-09,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2001-12-12,0.4458356164383561,7.489833029830749e-08,0.9999999251016711,0.9999999251016711,7.489833029830749e-08,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2001-12-13,0.4460547945205479,7.000242476237002e-17,1.0000000000000013,1.0000000000000013,7.000242476237002e-17,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2001-12-14,0.4462739726027397,5.728866562442402e-17,1.0000000000000013,1.0000000000000013,5.728866562442402e-17,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2001-12-17,0.4569315068493151,1.4915033590461262e-15,1.0,1.0,1.4915033590461262e-15,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2001-12-18,0.4478630136986301,1.5103013448043632e-16,1.000000000000001,1.000000000000001,1.5103013448043632e-16,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2001-12-19,0.4480273972602739,2.694612990725556e-11,0.9999999999730551,0.9999999999730551,2.694612990725556e-11,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2001-12-20,0.4484931506849315,2.1324061512270094e-08,0.9999999786759397,0.9999999786759397,2.1324061512270094e-08,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2001-12-21,0.4386301369863014,1.4541660442055975e-08,0.9999999854583408,0.9999999854583408,1.4541660442055975e-08,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2001-12-24,0.4392328767123287,1.2845567191200031e-08,0.9999999871544341,0.9999999871544341,1.2845567191200031e-08,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2001-12-26,0.4394520547945205,7.383862321117137e-07,0.9999992616137691,0.9999992616137691,7.383862321117137e-07,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2001-12-27,0.4395616438356164,3.348006053481719e-05,0.9999665199394665,0.9999665199394665,3.348006053481719e-05,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2001-12-28,0.6186027397260273,0.06603407416076983,0.9339659258392317,0.9339659258392317,0.06603407416076983,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2001-12-31,0.62,0.1162083281844438,0.8837916718155575,0.8837916718155575,0.1162083281844438,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2002-02-01,0.5275342465753425,0.2614819213133077,0.7385180786866936,0.7385180786866936,0.2614819213133077,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2002-02-04,0.4638356164383562,0.2694830690209867,0.7305169309790144,0.7305169309790144,0.2694830690209867,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2002-02-05,0.463945205479452,0.2999943897102161,0.700005610289785,0.700005610289785,0.2999943897102161,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2002-02-06,0.464054794520548,0.3663452497761125,0.6336547502238887,0.6336547502238887,0.3663452497761125,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2002-02-07,0.4641643835616438,0.4984726873426021,0.5015273126573991,0.5015273126573991,0.4984726873426021,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2002-02-08,0.5089315068493151,0.6124538712575056,0.3875461287424957,0.3875461287424957,0.6124538712575056,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2002-02-11,0.5088493150684932,0.6690939163699784,0.3309060836300229,0.3309060836300229,0.6690939163699784,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2002-02-13,0.5087945205479453,0.7212092692030017,0.2787907307969996,0.2787907307969996,0.7212092692030017,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2002-02-14,0.5173972602739726,0.7685326449859093,0.23146735501409196,0.23146735501409196,0.7685326449859093,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2002-02-15,0.5175616438356164,0.8467296988046211,0.1532703011953801,0.1532703011953801,0.8467296988046211,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2002-02-18,0.4853698630136986,0.9699689325976419,0.03003106740235949,0.03003106740235949,0.9699689325976419,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
