Date,Dias Corridos,252(2)(4),360(1)
08/12/2022,1,"13,65","0,00"
08/12/2022,6,"13,66","12,97"
08/12/2022,7,"13,66","13,95"
08/12/2022,8,"13,66","14,70"
08/12/2022,13,"13,66","13,50"
08/12/2022,14,"13,66","13,96"
08/12/2022,20,"13,66","13,66"
08/12/2022,21,"13,66","13,96"
08/12/2022,25,"13,66","13,24"
08/12/2022,32,"13,66","13,40"
08/12/2022,33,"13,66","13,60"
08/12/2022,39,"13,66","13,50"
08/12/2022,41,"13,66","13,81"
08/12/2022,43,"13,66","14,10"
08/12/2022,53,"13,66","13,62"
08/12/2022,54,"13,66","13,74"
08/12/2022,55,"13,66","13,85"
08/12/2022,60,"13,67","13,67"
08/12/2022,69,"13,68","13,89"
08/12/2022,70,"13,68","13,98"
08/12/2022,81,"13,69","13,25"
08/12/2022,82,"13,69","13,34"
08/12/2022,83,"13,69","13,42"
08/12/2022,90,"13,70","13,47"
08/12/2022,92,"13,70","13,61"
08/12/2022,97,"13,71","13,51"
08/12/2022,98,"13,71","13,58"
08/12/2022,99,"13,71","13,65"
08/12/2022,105,"13,71","13,61"
08/12/2022,113,"13,72","13,70"
08/12/2022,116,"13,72","13,50"
08/12/2022,123,"13,73","13,38"
08/12/2022,125,"13,74","13,49"
08/12/2022,130,"13,75","13,42"
08/12/2022,140,"13,76","13,46"
08/12/2022,141,"13,76","13,51"
08/12/2022,145,"13,77","13,26"
08/12/2022,151,"13,78","13,27"
08/12/2022,158,"13,81","13,33"
08/12/2022,166,"13,83","13,42"
08/12/2022,174,"13,85","13,51"
08/12/2022,175,"13,85","13,55"
08/12/2022,180,"13,86","13,51"
08/12/2022,183,"13,86","13,50"
08/12/2022,188,"13,86","13,46"
08/12/2022,189,"13,87","13,50"
08/12/2022,190,"13,87","13,53"
08/12/2022,203,"13,88","13,56"
08/12/2022,204,"13,88","13,59"
08/12/2022,207,"13,88","13,48"
08/12/2022,210,"13,88","13,58"
08/12/2022,216,"13,89","13,57"
08/12/2022,221,"13,89","13,54"
08/12/2022,225,"13,89","13,66"
08/12/2022,232,"13,90","13,68"
08/12/2022,235,"13,90","13,58"
08/12/2022,236,"13,90","13,61"
08/12/2022,242,"13,90","13,60"
08/12/2022,250,"13,89","13,64"
08/12/2022,251,"13,89","13,67"
08/12/2022,265,"13,89","13,69"
08/12/2022,267,"13,89","13,74"
08/12/2022,270,"13,89","13,66"
08/12/2022,281,"13,90","13,69"
08/12/2022,287,"13,90","13,69"
08/12/2022,298,"13,90","13,65"
08/12/2022,300,"13,90","13,69"
08/12/2022,312,"13,89","13,60"
08/12/2022,314,"13,89","13,64"
08/12/2022,326,"13,89","13,61"
08/12/2022,327,"13,88","13,63"
08/12/2022,328,"13,88","13,65"
08/12/2022,330,"13,88","13,63"
08/12/2022,335,"13,89","13,60"
08/12/2022,343,"13,89","13,57"
08/12/2022,358,"13,89","13,62"
08/12/2022,361,"13,89","13,55"
08/12/2022,370,"13,87","13,58"
08/12/2022,376,"13,85","13,56"
08/12/2022,385,"13,84","13,54"
08/12/2022,390,"13,83","13,45"
08/12/2022,403,"13,81","13,44"
08/12/2022,420,"13,78","13,48"
08/12/2022,433,"13,77","13,38"
08/12/2022,434,"13,77","13,39"
08/12/2022,435,"13,76","13,40"
08/12/2022,452,"13,74","13,35"
08/12/2022,461,"13,73","13,38"
08/12/2022,468,"13,72","13,38"
08/12/2022,480,"13,71","13,32"
08/12/2022,494,"13,67","13,30"
08/12/2022,496,"13,66","13,32"
08/12/2022,508,"13,63","13,28"
08/12/2022,511,"13,62","13,27"
08/12/2022,524,"13,59","13,25"
08/12/2022,531,"13,58","13,24"
08/12/2022,540,"13,56","13,21"
08/12/2022,552,"13,53","13,18"
08/12/2022,571,"13,49","13,14"
08/12/2022,600,"13,42","13,11"
08/12/2022,615,"13,38","13,10"
08/12/2022,616,"13,38","13,11"
08/12/2022,630,"13,35","13,09"
08/12/2022,662,"13,29","13,03"
08/12/2022,663,"13,29","13,04"
08/12/2022,672,"13,26","13,04"
08/12/2022,678,"13,25","13,02"
08/12/2022,690,"13,22","12,99"
08/12/2022,711,"13,17","12,93"
08/12/2022,720,"13,15","12,93"
08/12/2022,741,"13,11","12,90"
08/12/2022,750,"13,09","12,88"
08/12/2022,756,"13,08","12,84"
08/12/2022,781,"13,05","12,81"
08/12/2022,802,"13,03","12,80"
08/12/2022,810,"13,02","12,80"
08/12/2022,840,"12,99","12,76"
08/12/2022,845,"12,99","12,74"
08/12/2022,872,"12,97","12,69"
08/12/2022,876,"12,96","12,69"
08/12/2022,889,"12,95","12,68"
08/12/2022,900,"12,95","12,66"
08/12/2022,930,"12,92","12,65"
08/12/2022,936,"12,92","12,64"
08/12/2022,960,"12,93","12,68"
08/12/2022,981,"12,94","12,70"
08/12/2022,991,"12,94","12,69"
08/12/2022,1020,"12,95","12,72"
08/12/2022,1028,"12,95","12,73"
08/12/2022,1050,"12,92","12,72"
08/12/2022,1075,"12,90","12,69"
08/12/2022,1082,"12,89","12,69"
08/12/2022,1110,"12,86","12,67"
08/12/2022,1121,"12,86","12,65"
08/12/2022,1140,"12,86","12,65"
08/12/2022,1168,"12,86","12,63"
