Date,Dias Corridos,252(2)(4),360(1)
02/01/2013,1,"6,92","6,86"
02/01/2013,12,"6,97","6,63"
02/01/2013,13,"6,97","6,89"
02/01/2013,28,"6,98","7,12"
02/01/2013,29,"6,98","7,22"
02/01/2013,30,"6,98","7,32"
02/01/2013,44,"6,97","6,78"
02/01/2013,56,"6,97","6,75"
02/01/2013,57,"6,97","6,81"
02/01/2013,58,"6,97","6,86"
02/01/2013,61,"6,97","6,69"
02/01/2013,71,"7,01","6,91"
02/01/2013,72,"7,02","6,96"
02/01/2013,84,"7,04","6,94"
02/01/2013,85,"7,05","6,99"
02/01/2013,89,"7,05","6,78"
02/01/2013,90,"7,05","6,82"
02/01/2013,103,"7,06","6,85"
02/01/2013,117,"7,07","6,90"
02/01/2013,118,"7,07","6,93"
02/01/2013,120,"7,07","6,90"
02/01/2013,132,"7,08","6,89"
02/01/2013,133,"7,08","6,91"
02/01/2013,149,"7,08","6,92"
02/01/2013,152,"7,08","6,85"
02/01/2013,170,"7,09","6,96"
02/01/2013,176,"7,09","6,96"
02/01/2013,177,"7,09","6,98"
02/01/2013,180,"7,09","6,92"
02/01/2013,191,"7,09","7,00"
02/01/2013,194,"7,09","6,94"
02/01/2013,209,"7,10","6,98"
02/01/2013,210,"7,10","7,00"
02/01/2013,211,"7,10","7,01"
02/01/2013,224,"7,10","7,02"
02/01/2013,225,"7,10","7,03"
02/01/2013,239,"7,11","7,05"
02/01/2013,240,"7,11","7,06"
02/01/2013,254,"7,11","7,07"
02/01/2013,261,"7,11","7,08"
02/01/2013,271,"7,11","7,04"
02/01/2013,272,"7,11","7,06"
02/01/2013,286,"7,11","7,06"
02/01/2013,300,"7,11","7,07"
02/01/2013,301,"7,11","7,08"
02/01/2013,302,"7,11","7,09"
02/01/2013,316,"7,10","7,10"
02/01/2013,320,"7,10","7,04"
02/01/2013,330,"7,10","7,07"
02/01/2013,331,"7,10","7,08"
02/01/2013,352,"7,10","7,09"
02/01/2013,359,"7,10","7,06"
02/01/2013,362,"7,10","7,03"
02/01/2013,363,"7,10","7,04"
02/01/2013,365,"7,10","7,03"
02/01/2013,377,"7,11","7,03"
02/01/2013,378,"7,11","7,04"
02/01/2013,390,"7,12","7,04"
02/01/2013,420,"7,13","7,08"
02/01/2013,421,"7,14","7,09"
02/01/2013,436,"7,14","7,06"
02/01/2013,439,"7,14","7,04"
02/01/2013,450,"7,15","7,08"
02/01/2013,454,"7,15","7,06"
02/01/2013,468,"7,18","7,10"
02/01/2013,481,"7,20","7,07"
02/01/2013,482,"7,20","7,08"
02/01/2013,497,"7,23","7,10"
02/01/2013,510,"7,25","7,13"
02/01/2013,540,"7,30","7,18"
02/01/2013,544,"7,31","7,17"
02/01/2013,545,"7,31","7,18"
02/01/2013,559,"7,35","7,23"
02/01/2013,572,"7,39","7,27"
02/01/2013,576,"7,40","7,31"
02/01/2013,590,"7,44","7,35"
02/01/2013,600,"7,46","7,35"
02/01/2013,607,"7,48","7,37"
02/01/2013,621,"7,51","7,41"
02/01/2013,630,"7,54","7,45"
02/01/2013,637,"7,55","7,47"
02/01/2013,651,"7,58","7,50"
02/01/2013,660,"7,60","7,54"
02/01/2013,691,"7,66","7,58"
02/01/2013,720,"7,72","7,65"
02/01/2013,730,"7,73","7,65"
02/01/2013,743,"7,75","7,67"
02/01/2013,750,"7,76","7,68"
02/01/2013,782,"7,79","7,68"
02/01/2013,803,"7,81","7,71"
02/01/2013,810,"7,82","7,72"
02/01/2013,819,"7,83","7,74"
02/01/2013,833,"7,85","7,75"
02/01/2013,840,"7,86","7,75"
02/01/2013,863,"7,89","7,78"
02/01/2013,870,"7,90","7,79"
02/01/2013,901,"7,94","7,81"
02/01/2013,910,"7,95","7,83"
02/01/2013,924,"7,97","7,86"
02/01/2013,930,"7,97","7,86"
02/01/2013,960,"8,01","7,91"
02/01/2013,992,"8,04","7,93"
02/01/2013,1002,"8,06","7,95"
02/01/2013,1016,"8,07","7,96"
02/01/2013,1020,"8,07","7,95"
02/01/2013,1050,"8,10","7,99"
02/01/2013,1080,"8,13","8,03"
02/01/2013,1097,"8,14","8,01"
02/01/2013,1108,"8,15","8,04"
02/01/2013,1111,"8,15","8,03"
02/01/2013,1140,"8,18","8,04"
02/01/2013,1168,"8,21","8,07"
02/01/2013,1170,"8,21","8,08"
02/01/2013,1185,"8,22","8,09"
02/01/2013,1199,"8,23","8,11"
02/01/2013,1202,"8,24","8,10"
02/01/2013,1276,"8,30","8,17"
02/01/2013,1290,"8,32","8,19"
02/01/2013,1321,"8,35","8,23"
02/01/2013,1370,"8,41","8,28"
02/01/2013,1384,"8,41","8,28"
02/01/2013,1440,"8,43","8,29"
02/01/2013,1461,"8,43","8,30"
02/01/2013,1475,"8,44","8,31"
02/01/2013,1533,"8,47","8,34"
02/01/2013,1552,"8,48","8,35"
02/01/2013,1566,"8,49","8,35"
02/01/2013,1594,"8,50","8,35"
02/01/2013,1643,"8,52","8,37"
02/01/2013,1657,"8,53","8,38"
02/01/2013,1734,"8,57","8,43"
02/01/2013,1748,"8,57","8,43"
02/01/2013,1800,"8,60","8,46"
02/01/2013,1826,"8,61","8,45"
02/01/2013,1839,"8,62","8,46"
02/01/2013,1916,"8,66","8,49"
02/01/2013,1930,"8,66","8,50"
02/01/2013,2007,"8,70","8,54"
02/01/2013,2021,"8,71","8,55"
02/01/2013,2051,"8,72","8,57"
02/01/2013,2098,"8,74","8,59"
02/01/2013,2112,"8,75","8,59"
02/01/2013,2161,"8,77","8,61"
02/01/2013,2191,"8,78","8,61"
02/01/2013,2204,"8,79","8,62"
02/01/2013,2280,"8,83","8,66"
02/01/2013,2294,"8,84","8,67"
02/01/2013,2371,"8,88","8,71"
02/01/2013,2385,"8,89","8,72"
02/01/2013,2416,"8,90","8,74"
02/01/2013,2463,"8,93","8,77"
02/01/2013,2477,"8,93","8,78"
02/01/2013,2520,"8,95","8,80"
02/01/2013,2556,"8,97","8,81"
02/01/2013,2569,"8,98","8,82"
02/01/2013,2646,"9,01","8,85"
02/01/2013,2660,"9,01","8,85"
02/01/2013,2737,"9,04","8,88"
02/01/2013,2751,"9,05","8,88"
02/01/2013,2784,"9,06","8,90"
02/01/2013,2829,"9,08","8,92"
02/01/2013,2843,"9,08","8,92"
02/01/2013,2882,"9,10","8,93"
02/01/2013,2924,"9,11","8,94"
02/01/2013,2935,"9,11","8,95"
02/01/2013,3011,"9,14","8,97"
02/01/2013,3025,"9,14","8,97"
02/01/2013,3102,"9,16","8,99"
02/01/2013,3116,"9,17","9,00"
02/01/2013,3148,"9,17","9,01"
02/01/2013,3194,"9,19","9,02"
02/01/2013,3208,"9,19","9,03"
02/01/2013,3240,"9,20","9,02"
02/01/2013,3288,"9,21","9,04"
02/01/2013,3302,"9,21","9,04"
02/01/2013,3376,"9,22","9,06"
02/01/2013,3393,"9,23","9,05"
02/01/2013,3467,"9,24","9,07"
02/01/2013,3481,"9,24","9,07"
02/01/2013,3512,"9,24","9,08"
02/01/2013,3561,"9,25","9,08"
02/01/2013,3575,"9,25","9,08"
02/01/2013,3600,"9,25","9,09"
02/01/2013,3652,"9,26","9,09"
02/01/2013,3666,"9,26","9,09"
02/01/2013,3724,"9,26","9,09"
02/01/2013,3743,"9,26","9,09"
02/01/2013,3757,"9,26","9,09"
02/01/2013,3834,"9,26","9,09"
02/01/2013,3848,"9,26","9,09"
02/01/2013,3877,"9,26","9,09"
02/01/2013,3925,"9,26","9,09"
02/01/2013,3939,"9,26","9,09"
