Date,Dias Corridos,252(2)(4),360(1)
26/04/2013,3,"7,23","7,09"
26/04/2013,4,"7,24","5,12"
26/04/2013,6,"7,24","5,12"
26/04/2013,18,"7,26","6,31"
26/04/2013,19,"7,26","6,53"
26/04/2013,31,"7,26","6,68"
26/04/2013,35,"7,27","6,81"
26/04/2013,38,"7,27","6,53"
26/04/2013,52,"7,37","6,86"
26/04/2013,56,"7,39","7,16"
26/04/2013,60,"7,40","7,04"
26/04/2013,62,"7,41","7,16"
26/04/2013,63,"7,42","7,22"
26/04/2013,66,"7,42","7,05"
26/04/2013,77,"7,49","7,36"
26/04/2013,80,"7,50","7,22"
26/04/2013,90,"7,55","7,42"
26/04/2013,95,"7,56","7,38"
26/04/2013,96,"7,57","7,43"
26/04/2013,97,"7,57","7,47"
26/04/2013,110,"7,63","7,53"
26/04/2013,111,"7,64","7,56"
26/04/2013,122,"7,67","7,54"
26/04/2013,125,"7,69","7,64"
26/04/2013,126,"7,69","7,67"
26/04/2013,129,"7,70","7,58"
26/04/2013,140,"7,73","7,73"
26/04/2013,143,"7,74","7,65"
26/04/2013,147,"7,75","7,76"
26/04/2013,150,"7,75","7,68"
26/04/2013,157,"7,77","7,70"
26/04/2013,158,"7,77","7,73"
26/04/2013,172,"7,80","7,78"
26/04/2013,180,"7,82","7,82"
26/04/2013,187,"7,83","7,84"
26/04/2013,188,"7,83","7,86"
26/04/2013,189,"7,84","7,88"
26/04/2013,202,"7,86","7,89"
26/04/2013,206,"7,86","7,79"
26/04/2013,210,"7,87","7,87"
26/04/2013,217,"7,88","7,88"
26/04/2013,220,"7,88","7,82"
26/04/2013,234,"7,89","7,85"
26/04/2013,238,"7,90","7,92"
26/04/2013,241,"7,90","7,87"
26/04/2013,245,"7,91","7,88"
26/04/2013,249,"7,91","7,85"
26/04/2013,251,"7,91","7,83"
26/04/2013,263,"7,92","7,83"
26/04/2013,264,"7,93","7,84"
26/04/2013,270,"7,93","7,84"
26/04/2013,283,"7,95","7,86"
26/04/2013,297,"7,96","7,88"
26/04/2013,300,"7,96","7,92"
26/04/2013,307,"7,97","7,93"
26/04/2013,313,"7,97","7,85"
26/04/2013,322,"7,98","7,89"
26/04/2013,325,"7,98","7,85"
26/04/2013,332,"7,98","7,86"
26/04/2013,340,"7,99","7,89"
26/04/2013,354,"8,01","7,91"
26/04/2013,361,"8,01","7,86"
26/04/2013,368,"8,02","7,87"
26/04/2013,383,"8,04","7,88"
26/04/2013,390,"8,04","7,89"
26/04/2013,420,"8,07","7,93"
26/04/2013,430,"8,08","7,91"
26/04/2013,431,"8,08","7,92"
26/04/2013,445,"8,10","7,95"
26/04/2013,451,"8,11","7,95"
26/04/2013,462,"8,12","8,01"
26/04/2013,476,"8,14","8,03"
26/04/2013,480,"8,14","8,01"
26/04/2013,493,"8,15","8,03"
26/04/2013,507,"8,17","8,05"
26/04/2013,510,"8,17","8,07"
26/04/2013,523,"8,18","8,08"
26/04/2013,537,"8,20","8,11"
26/04/2013,542,"8,20","8,10"
26/04/2013,570,"8,24","8,15"
26/04/2013,600,"8,27","8,21"
26/04/2013,616,"8,28","8,20"
26/04/2013,629,"8,30","8,21"
26/04/2013,630,"8,30","8,22"
26/04/2013,663,"8,34","8,23"
26/04/2013,689,"8,37","8,26"
26/04/2013,690,"8,37","8,26"
26/04/2013,705,"8,39","8,29"
26/04/2013,719,"8,41","8,30"
26/04/2013,720,"8,41","8,31"
26/04/2013,749,"8,45","8,33"
26/04/2013,752,"8,45","8,31"
26/04/2013,780,"8,49","8,34"
26/04/2013,796,"8,51","8,38"
26/04/2013,810,"8,52","8,40"
26/04/2013,840,"8,55","8,45"
26/04/2013,871,"8,58","8,45"
26/04/2013,888,"8,59","8,48"
26/04/2013,900,"8,60","8,47"
26/04/2013,902,"8,60","8,48"
26/04/2013,930,"8,62","8,50"
26/04/2013,962,"8,65","8,52"
26/04/2013,983,"8,66","8,51"
26/04/2013,990,"8,67","8,52"
26/04/2013,994,"8,67","8,55"
26/04/2013,1020,"8,69","8,54"
26/04/2013,1050,"8,72","8,59"
26/04/2013,1054,"8,73","8,58"
26/04/2013,1071,"8,74","8,60"
26/04/2013,1081,"8,74","8,59"
26/04/2013,1085,"8,75","8,61"
26/04/2013,1110,"8,76","8,60"
26/04/2013,1140,"8,77","8,62"
26/04/2013,1162,"8,78","8,64"
26/04/2013,1172,"8,79","8,64"
26/04/2013,1176,"8,79","8,65"
26/04/2013,1200,"8,80","8,66"
26/04/2013,1207,"8,80","8,66"
26/04/2013,1256,"8,83","8,69"
26/04/2013,1270,"8,84","8,69"
26/04/2013,1347,"8,87","8,72"
26/04/2013,1361,"8,88","8,73"
26/04/2013,1419,"8,89","8,75"
26/04/2013,1438,"8,90","8,76"
26/04/2013,1440,"8,90","8,76"
26/04/2013,1452,"8,91","8,76"
26/04/2013,1480,"8,92","8,76"
26/04/2013,1529,"8,95","8,79"
26/04/2013,1543,"8,96","8,80"
26/04/2013,1620,"9,00","8,85"
26/04/2013,1634,"9,01","8,85"
26/04/2013,1712,"9,04","8,87"
26/04/2013,1725,"9,05","8,88"
26/04/2013,1802,"9,08","8,91"
26/04/2013,1816,"9,09","8,92"
26/04/2013,1893,"9,12","8,95"
26/04/2013,1907,"9,13","8,96"
26/04/2013,1937,"9,14","8,98"
26/04/2013,1984,"9,16","8,99"
26/04/2013,1998,"9,16","8,99"
26/04/2013,2077,"9,19","9,01"
26/04/2013,2090,"9,20","9,02"
26/04/2013,2160,"9,23","9,05"
26/04/2013,2166,"9,23","9,05"
26/04/2013,2180,"9,23","9,06"
26/04/2013,2257,"9,26","9,08"
26/04/2013,2271,"9,27","9,09"
26/04/2013,2302,"9,28","9,11"
26/04/2013,2349,"9,30","9,13"
26/04/2013,2363,"9,30","9,14"
26/04/2013,2442,"9,33","9,16"
26/04/2013,2455,"9,34","9,17"
26/04/2013,2520,"9,37","9,21"
