Date,Dias Corridos,252(2)(4),360(1)
25/11/2016,3,"13,88","0,00"
25/11/2016,4,"13,88","9,73"
25/11/2016,5,"13,88","11,79"
25/11/2016,6,"13,89","13,18"
25/11/2016,19,"13,68","13,35"
25/11/2016,20,"13,68","13,68"
25/11/2016,21,"13,67","13,97"
25/11/2016,25,"13,66","13,24"
25/11/2016,26,"13,66","13,50"
25/11/2016,31,"13,65","13,18"
25/11/2016,33,"13,64","13,58"
25/11/2016,34,"13,64","13,76"
25/11/2016,35,"13,64","13,93"
25/11/2016,38,"13,64","13,31"
25/11/2016,52,"13,56","13,40"
25/11/2016,54,"13,55","13,62"
25/11/2016,60,"13,53","13,53"
25/11/2016,62,"13,52","13,72"
25/11/2016,67,"13,51","13,54"
25/11/2016,68,"13,51","13,63"
25/11/2016,82,"13,46","13,61"
25/11/2016,90,"13,44","13,66"
25/11/2016,91,"13,43","13,73"
25/11/2016,96,"13,43","13,18"
25/11/2016,102,"13,39","13,11"
25/11/2016,110,"13,33","13,15"
25/11/2016,111,"13,33","13,20"
25/11/2016,112,"13,32","13,24"
25/11/2016,118,"13,29","13,18"
25/11/2016,122,"13,27","13,04"
25/11/2016,126,"13,25","13,21"
25/11/2016,129,"13,24","13,04"
25/11/2016,138,"13,19","13,10"
25/11/2016,143,"13,17","12,88"
25/11/2016,150,"13,15","12,75"
25/11/2016,153,"13,13","12,85"
25/11/2016,154,"13,12","12,89"
25/11/2016,158,"13,12","12,66"
25/11/2016,171,"13,04","12,61"
25/11/2016,180,"12,99","12,66"
25/11/2016,187,"12,95","12,65"
25/11/2016,188,"12,95","12,67"
25/11/2016,201,"12,89","12,63"
25/11/2016,203,"12,89","12,59"
25/11/2016,210,"12,86","12,58"
25/11/2016,216,"12,84","12,55"
25/11/2016,217,"12,84","12,58"
25/11/2016,220,"12,83","12,48"
25/11/2016,234,"12,75","12,43"
25/11/2016,241,"12,71","12,41"
25/11/2016,245,"12,68","12,48"
25/11/2016,248,"12,67","12,39"
25/11/2016,249,"12,67","12,41"
25/11/2016,263,"12,60","12,38"
25/11/2016,264,"12,60","12,39"
25/11/2016,270,"12,57","12,36"
25/11/2016,278,"12,54","12,36"
25/11/2016,279,"12,53","12,38"
25/11/2016,280,"12,53","12,39"
25/11/2016,287,"12,51","12,31"
25/11/2016,294,"12,48","12,30"
25/11/2016,300,"12,46","12,27"
25/11/2016,308,"12,43","12,28"
25/11/2016,311,"12,43","12,21"
25/11/2016,325,"12,38","12,12"
25/11/2016,326,"12,38","12,13"
25/11/2016,327,"12,37","12,15"
25/11/2016,332,"12,36","12,11"
25/11/2016,335,"12,34","12,15"
25/11/2016,339,"12,33","12,09"
25/11/2016,340,"12,33","12,11"
25/11/2016,341,"12,32","12,12"
25/11/2016,356,"12,28","12,01"
25/11/2016,360,"12,27","11,96"
25/11/2016,370,"12,24","11,99"
25/11/2016,371,"12,23","12,00"
25/11/2016,383,"12,20","11,96"
25/11/2016,389,"12,19","11,94"
25/11/2016,390,"12,19","11,95"
25/11/2016,398,"12,17","11,91"
25/11/2016,403,"12,16","11,84"
25/11/2016,416,"12,13","11,81"
25/11/2016,420,"12,11","11,85"
25/11/2016,446,"12,06","11,73"
25/11/2016,447,"12,06","11,74"
25/11/2016,451,"12,05","11,70"
25/11/2016,461,"12,03","11,72"
25/11/2016,475,"12,00","11,71"
25/11/2016,480,"11,99","11,69"
25/11/2016,493,"11,97","11,64"
25/11/2016,507,"11,95","11,63"
25/11/2016,509,"11,95","11,65"
25/11/2016,510,"11,94","11,66"
25/11/2016,518,"11,93","11,67"
25/11/2016,523,"11,93","11,62"
25/11/2016,536,"11,91","11,60"
25/11/2016,542,"11,91","11,59"
25/11/2016,565,"11,88","11,58"
25/11/2016,570,"11,88","11,56"
25/11/2016,584,"11,86","11,56"
25/11/2016,598,"11,85","11,56"
25/11/2016,600,"11,85","11,58"
25/11/2016,614,"11,84","11,59"
25/11/2016,628,"11,83","11,59"
25/11/2016,630,"11,83","11,61"
25/11/2016,647,"11,82","11,58"
25/11/2016,661,"11,82","11,56"
25/11/2016,664,"11,82","11,58"
25/11/2016,675,"11,81","11,56"
25/11/2016,689,"11,80","11,54"
25/11/2016,690,"11,80","11,54"
25/11/2016,691,"11,80","11,55"
25/11/2016,721,"11,78","11,52"
25/11/2016,752,"11,77","11,50"
25/11/2016,753,"11,77","11,51"
25/11/2016,768,"11,76","11,47"
25/11/2016,780,"11,76","11,47"
25/11/2016,781,"11,76","11,47"
25/11/2016,810,"11,77","11,51"
25/11/2016,812,"11,77","11,52"
25/11/2016,826,"11,77","11,53"
25/11/2016,840,"11,78","11,50"
25/11/2016,857,"11,78","11,49"
25/11/2016,871,"11,78","11,50"
25/11/2016,888,"11,79","11,49"
25/11/2016,900,"11,79","11,49"
25/11/2016,901,"11,79","11,50"
25/11/2016,930,"11,80","11,53"
25/11/2016,948,"11,80","11,51"
25/11/2016,962,"11,81","11,52"
25/11/2016,990,"11,83","11,56"
25/11/2016,993,"11,83","11,58"
25/11/2016,1020,"11,85","11,60"
25/11/2016,1025,"11,85","11,60"
25/11/2016,1040,"11,86","11,62"
25/11/2016,1050,"11,87","11,64"
25/11/2016,1054,"11,87","11,63"
25/11/2016,1081,"11,88","11,65"
25/11/2016,1088,"11,88","11,64"
25/11/2016,1110,"11,89","11,66"
25/11/2016,1133,"11,90","11,66"
25/11/2016,1140,"11,90","11,67"
25/11/2016,1146,"11,91","11,67"
25/11/2016,1172,"11,92","11,69"
25/11/2016,1179,"11,93","11,69"
25/11/2016,1193,"11,93","11,67"
25/11/2016,1200,"11,94","11,68"
25/11/2016,1207,"11,94","11,69"
25/11/2016,1223,"11,95","11,71"
25/11/2016,1237,"11,96","11,71"
25/11/2016,1267,"11,98","11,72"
25/11/2016,1314,"12,00","11,74"
25/11/2016,1328,"12,01","11,75"
25/11/2016,1347,"12,01","11,76"
25/11/2016,1361,"12,02","11,77"
25/11/2016,1376,"12,02","11,78"
25/11/2016,1390,"12,03","11,78"
25/11/2016,1406,"12,03","11,79"
25/11/2016,1420,"12,04","11,79"
25/11/2016,1440,"12,04","11,79"
25/11/2016,1452,"12,05","11,79"
25/11/2016,1501,"12,06","11,80"
25/11/2016,1512,"12,06","11,82"
25/11/2016,1545,"12,07","11,80"
25/11/2016,1557,"12,07","11,80"
25/11/2016,1571,"12,08","11,81"
25/11/2016,1588,"12,08","11,83"
25/11/2016,1602,"12,08","11,83"
25/11/2016,1620,"12,08","11,81"
25/11/2016,1634,"12,09","11,82"
25/11/2016,1679,"12,10","11,84"
25/11/2016,1693,"12,10","11,85"
25/11/2016,1725,"12,10","11,85"
25/11/2016,1741,"12,11","11,87"
25/11/2016,1755,"12,11","11,86"
25/11/2016,1771,"12,11","11,88"
25/11/2016,1785,"12,11","11,87"
25/11/2016,1802,"12,12","11,87"
25/11/2016,1817,"12,12","11,86"
25/11/2016,1865,"12,13","11,87"
25/11/2016,1879,"12,13","11,88"
25/11/2016,1908,"12,14","11,91"
25/11/2016,1923,"12,15","11,90"
25/11/2016,1936,"12,15","11,90"
25/11/2016,1953,"12,16","11,92"
25/11/2016,1970,"12,17","11,91"
25/11/2016,1998,"12,18","11,92"
25/11/2016,2044,"12,19","11,95"
25/11/2016,2058,"12,20","11,96"
25/11/2016,2089,"12,21","11,97"
25/11/2016,2106,"12,21","11,98"
25/11/2016,2120,"12,22","11,98"
25/11/2016,2138,"12,22","11,98"
25/11/2016,2152,"12,23","11,98"
25/11/2016,2160,"12,23","11,99"
25/11/2016,2182,"12,24","11,99"
25/11/2016,2229,"12,25","12,01"
25/11/2016,2243,"12,25","12,01"
25/11/2016,2273,"12,25","12,02"
25/11/2016,2301,"12,26","12,02"
25/11/2016,2320,"12,26","12,02"
25/11/2016,2334,"12,26","12,01"
25/11/2016,2362,"12,26","12,00"
25/11/2016,2393,"12,26","12,01"
25/11/2016,2411,"12,26","12,01"
25/11/2016,2425,"12,26","12,01"
25/11/2016,2454,"12,27","12,02"
25/11/2016,2502,"12,27","12,03"
25/11/2016,2516,"12,27","12,02"
25/11/2016,2520,"12,27","12,03"
25/11/2016,2547,"12,27","12,02"
25/11/2016,2594,"12,27","12,02"
25/11/2016,2638,"12,28","12,02"
25/11/2016,2698,"12,28","12,02"
25/11/2016,2728,"12,28","12,02"
25/11/2016,2775,"12,28","12,02"
25/11/2016,2820,"12,28","12,04"
25/11/2016,2880,"12,29","12,05"
25/11/2016,2915,"12,29","12,05"
25/11/2016,2960,"12,29","12,05"
25/11/2016,3006,"12,29","12,06"
25/11/2016,3093,"12,30","12,05"
25/11/2016,3140,"12,30","12,05"
25/11/2016,3185,"12,30","12,06"
25/11/2016,3240,"12,30","12,07"
25/11/2016,3279,"12,30","12,07"
25/11/2016,3325,"12,31","12,08"
25/11/2016,3372,"12,31","12,08"
25/11/2016,3458,"12,33","12,10"
25/11/2016,3505,"12,34","12,10"
25/11/2016,3552,"12,35","12,12"
25/11/2016,3601,"12,36","12,13"
25/11/2016,3643,"12,37","12,13"
25/11/2016,3692,"12,38","12,13"
25/11/2016,3734,"12,38","12,13"
25/11/2016,3825,"12,38","12,14"
25/11/2016,3870,"12,39","12,15"
25/11/2016,3916,"12,39","12,15"
25/11/2016,3960,"12,39","12,16"
25/11/2016,4008,"12,39","12,15"
25/11/2016,4056,"12,39","12,16"
25/11/2016,4099,"12,40","12,17"
25/11/2016,4189,"12,40","12,16"
25/11/2016,4238,"12,40","12,16"
25/11/2016,4281,"12,40","12,17"
25/11/2016,4322,"12,41","12,17"
25/11/2016,4374,"12,41","12,17"
25/11/2016,4421,"12,41","12,17"
25/11/2016,4465,"12,41","12,17"
25/11/2016,4554,"12,42","12,17"
25/11/2016,4602,"12,42","12,17"
25/11/2016,4632,"12,42","12,18"
25/11/2016,4646,"12,42","12,18"
25/11/2016,4680,"12,42","12,18"
25/11/2016,4739,"12,42","12,18"
25/11/2016,4786,"12,43","12,18"
25/11/2016,4830,"12,43","12,19"
25/11/2016,4875,"12,43","12,18"
25/11/2016,4919,"12,43","12,18"
25/11/2016,4966,"12,43","12,18"
25/11/2016,5011,"12,43","12,19"
25/11/2016,5040,"12,43","12,20"
25/11/2016,5106,"12,44","12,20"
25/11/2016,5151,"12,44","12,20"
25/11/2016,5197,"12,44","12,20"
25/11/2016,5284,"12,44","12,20"
25/11/2016,5376,"12,45","12,21"
25/11/2016,5400,"12,45","12,21"
25/11/2016,5470,"12,45","12,21"
25/11/2016,5561,"12,45","12,21"
25/11/2016,5582,"12,45","12,21"
25/11/2016,5652,"12,45","12,22"
25/11/2016,5743,"12,46","12,22"
25/11/2016,5835,"12,46","12,22"
25/11/2016,5926,"12,46","12,23"
25/11/2016,6016,"12,46","12,23"
25/11/2016,6107,"12,47","12,23"
25/11/2016,6200,"12,47","12,23"
25/11/2016,6291,"12,47","12,24"
25/11/2016,6380,"12,47","12,23"
25/11/2016,6472,"12,47","12,24"
25/11/2016,6565,"12,48","12,24"
25/11/2016,6656,"12,48","12,24"
25/11/2016,6745,"12,48","12,24"
25/11/2016,6837,"12,48","12,25"
25/11/2016,6930,"12,48","12,24"
25/11/2016,7021,"12,48","12,25"
25/11/2016,7111,"12,49","12,24"
25/11/2016,7200,"12,49","12,24"
25/11/2016,7203,"12,49","12,25"
25/11/2016,7297,"12,49","12,25"
25/11/2016,7390,"12,49","12,25"
25/11/2016,7476,"12,49","12,25"
25/11/2016,7570,"12,49","12,25"
25/11/2016,7661,"12,49","12,26"
25/11/2016,7752,"12,50","12,26"
25/11/2016,7843,"12,50","12,25"
25/11/2016,7934,"12,50","12,26"
25/11/2016,8026,"12,50","12,26"
25/11/2016,8117,"12,50","12,26"
25/11/2016,8207,"12,50","12,26"
25/11/2016,8298,"12,50","12,27"
25/11/2016,8391,"12,50","12,26"
25/11/2016,8482,"12,51","12,27"
25/11/2016,8572,"12,51","12,27"
25/11/2016,8664,"12,51","12,27"
25/11/2016,8757,"12,51","12,27"
25/11/2016,8848,"12,51","12,27"
25/11/2016,8937,"12,51","12,27"
25/11/2016,9000,"12,51","12,27"
25/11/2016,9029,"12,51","12,28"
25/11/2016,9124,"12,51","12,28"
25/11/2016,9217,"12,51","12,28"
25/11/2016,9302,"12,51","12,28"
25/11/2016,9394,"12,52","12,28"
25/11/2016,9488,"12,52","12,28"
25/11/2016,9579,"12,52","12,28"
25/11/2016,9667,"12,52","12,28"
25/11/2016,9761,"12,52","12,29"
25/11/2016,9852,"12,52","12,29"
25/11/2016,9943,"12,52","12,29"
25/11/2016,10034,"12,52","12,28"
25/11/2016,10125,"12,52","12,29"
25/11/2016,10218,"12,52","12,29"
25/11/2016,10309,"12,52","12,29"
25/11/2016,10398,"12,52","12,29"
25/11/2016,10490,"12,52","12,29"
25/11/2016,10674,"12,53","12,29"
25/11/2016,10800,"12,53","12,29"
25/11/2016,10855,"12,53","12,29"
25/11/2016,11039,"12,53","12,29"
25/11/2016,11220,"12,53","12,29"
25/11/2016,11408,"12,53","12,29"
25/11/2016,11588,"12,53","12,30"
25/11/2016,11770,"12,53","12,30"
25/11/2016,11952,"12,53","12,30"
25/11/2016,12135,"12,54","12,30"
25/11/2016,12316,"12,54","12,30"
25/11/2016,14052,"12,55","12,31"
