Date,Dias Corridos,252(2)(4),360(1)
25/11/2022,3,"13,65","0,00"
25/11/2022,4,"13,66","9,58"
25/11/2022,5,"13,66","11,60"
25/11/2022,6,"13,66","12,97"
25/11/2022,7,"13,67","13,97"
25/11/2022,14,"13,69","13,99"
25/11/2022,19,"13,69","13,37"
25/11/2022,20,"13,70","13,70"
25/11/2022,21,"13,70","13,99"
25/11/2022,26,"13,70","13,54"
25/11/2022,31,"13,70","13,23"
25/11/2022,33,"13,70","13,64"
25/11/2022,34,"13,70","13,82"
25/11/2022,38,"13,70","13,37"
25/11/2022,52,"13,72","13,56"
25/11/2022,54,"13,72","13,80"
25/11/2022,56,"13,72","14,02"
25/11/2022,60,"13,72","13,72"
25/11/2022,67,"13,73","13,76"
25/11/2022,68,"13,73","13,85"
25/11/2022,82,"13,79","13,94"
25/11/2022,83,"13,79","14,02"
25/11/2022,90,"13,81","13,57"
25/11/2022,94,"13,82","13,41"
25/11/2022,95,"13,82","13,49"
25/11/2022,96,"13,83","13,56"
25/11/2022,105,"13,84","13,74"
25/11/2022,110,"13,85","13,66"
25/11/2022,111,"13,85","13,72"
25/11/2022,112,"13,85","13,78"
25/11/2022,118,"13,86","13,75"
25/11/2022,122,"13,86","13,62"
25/11/2022,126,"13,87","13,84"
25/11/2022,129,"13,87","13,66"
25/11/2022,138,"13,91","13,67"
25/11/2022,143,"13,93","13,62"
25/11/2022,150,"13,95","13,53"
25/11/2022,153,"13,97","13,68"
25/11/2022,154,"13,98","13,73"
25/11/2022,158,"13,98","13,50"
25/11/2022,171,"14,04","13,58"
25/11/2022,179,"14,07","13,68"
25/11/2022,180,"14,08","13,72"
25/11/2022,187,"14,10","13,77"
25/11/2022,188,"14,11","13,81"
25/11/2022,201,"14,15","13,76"
25/11/2022,202,"14,16","13,79"
25/11/2022,203,"14,16","13,83"
25/11/2022,210,"14,19","13,88"
25/11/2022,216,"14,21","13,89"
25/11/2022,217,"14,21","13,92"
25/11/2022,220,"14,22","13,82"
25/11/2022,229,"14,24","13,93"
25/11/2022,234,"14,25","13,90"
25/11/2022,238,"14,26","14,02"
25/11/2022,241,"14,26","13,93"
25/11/2022,245,"14,28","14,05"
25/11/2022,248,"14,28","13,96"
25/11/2022,249,"14,28","13,99"
25/11/2022,263,"14,32","14,06"
25/11/2022,264,"14,32","14,09"
25/11/2022,270,"14,33","14,09"
25/11/2022,278,"14,35","14,15"
25/11/2022,280,"14,36","14,20"
25/11/2022,294,"14,38","14,17"
25/11/2022,300,"14,39","14,17"
25/11/2022,311,"14,41","14,15"
25/11/2022,325,"14,42","14,12"
25/11/2022,327,"14,42","14,16"
25/11/2022,332,"14,43","14,14"
25/11/2022,335,"14,43","14,20"
25/11/2022,339,"14,43","14,15"
25/11/2022,340,"14,44","14,18"
25/11/2022,341,"14,44","14,20"
25/11/2022,356,"14,45","14,13"
25/11/2022,360,"14,45","14,08"
25/11/2022,383,"14,47","14,17"
25/11/2022,389,"14,47","14,17"
25/11/2022,390,"14,47","14,19"
25/11/2022,403,"14,48","14,09"
25/11/2022,416,"14,47","14,09"
25/11/2022,420,"14,47","14,15"
25/11/2022,446,"14,46","14,05"
25/11/2022,447,"14,46","14,07"
25/11/2022,448,"14,46","14,08"
25/11/2022,451,"14,45","14,03"
25/11/2022,474,"14,44","14,08"
25/11/2022,480,"14,44","14,07"
25/11/2022,481,"14,44","14,09"
25/11/2022,493,"14,44","14,03"
25/11/2022,507,"14,40","14,02"
25/11/2022,509,"14,40","14,04"
25/11/2022,510,"14,39","14,05"
25/11/2022,521,"14,37","14,00"
25/11/2022,537,"14,34","13,97"
25/11/2022,542,"14,33","13,95"
25/11/2022,544,"14,32","13,97"
25/11/2022,565,"14,28","13,92"
25/11/2022,570,"14,28","13,89"
25/11/2022,584,"14,25","13,89"
25/11/2022,600,"14,21","13,89"
25/11/2022,628,"14,15","13,86"
25/11/2022,629,"14,15","13,87"
25/11/2022,630,"14,15","13,88"
25/11/2022,661,"14,09","13,81"
25/11/2022,676,"14,07","13,81"
25/11/2022,685,"14,05","13,81"
25/11/2022,690,"14,04","13,79"
25/11/2022,691,"14,04","13,80"
25/11/2022,720,"13,98","13,77"
25/11/2022,724,"13,98","13,72"
25/11/2022,752,"13,93","13,69"
25/11/2022,754,"13,92","13,70"
25/11/2022,769,"13,90","13,64"
25/11/2022,780,"13,89","13,62"
25/11/2022,810,"13,86","13,62"
25/11/2022,815,"13,86","13,61"
25/11/2022,840,"13,83","13,58"
25/11/2022,858,"13,82","13,56"
25/11/2022,871,"13,81","13,55"
25/11/2022,889,"13,80","13,51"
25/11/2022,900,"13,79","13,49"
25/11/2022,902,"13,79","13,50"
25/11/2022,930,"13,77","13,50"
25/11/2022,949,"13,76","13,47"
25/11/2022,962,"13,76","13,47"
25/11/2022,990,"13,76","13,48"
25/11/2022,994,"13,76","13,51"
25/11/2022,1020,"13,75","13,51"
25/11/2022,1041,"13,75","13,52"
25/11/2022,1050,"13,75","13,53"
25/11/2022,1081,"13,72","13,50"
25/11/2022,1088,"13,72","13,50"
25/11/2022,1110,"13,70","13,50"
25/11/2022,1134,"13,69","13,47"
25/11/2022,1140,"13,69","13,47"
25/11/2022,1172,"13,69","13,47"
25/11/2022,1181,"13,69","13,45"
25/11/2022,1200,"13,69","13,45"
25/11/2022,1223,"13,70","13,47"
25/11/2022,1267,"13,68","13,44"
25/11/2022,1314,"13,67","13,42"
25/11/2022,1361,"13,66","13,42"
25/11/2022,1406,"13,65","13,43"
25/11/2022,1440,"13,64","13,39"
25/11/2022,1452,"13,63","13,38"
25/11/2022,1501,"13,61","13,35"
25/11/2022,1543,"13,60","13,33"
25/11/2022,1588,"13,60","13,34"
25/11/2022,1634,"13,59","13,32"
25/11/2022,1679,"13,57","13,32"
25/11/2022,1725,"13,57","13,32"
25/11/2022,1771,"13,56","13,33"
25/11/2022,1802,"13,56","13,32"
25/11/2022,1817,"13,56","13,30"
25/11/2022,1865,"13,56","13,31"
25/11/2022,1908,"13,56","13,33"
25/11/2022,1998,"13,57","13,30"
25/11/2022,2047,"13,57","13,31"
25/11/2022,2090,"13,57","13,33"
25/11/2022,2160,"13,58","13,33"
25/11/2022,2183,"13,58","13,32"
25/11/2022,2230,"13,58","13,31"
25/11/2022,2274,"13,57","13,30"
25/11/2022,2363,"13,56","13,29"
25/11/2022,2411,"13,55","13,28"
25/11/2022,2441,"13,55","13,29"
25/11/2022,2455,"13,55","13,29"
25/11/2022,2520,"13,54","13,29"
25/11/2022,2548,"13,54","13,27"
25/11/2022,2595,"13,53","13,26"
25/11/2022,2639,"13,53","13,27"
25/11/2022,2684,"13,53","13,26"
25/11/2022,2728,"13,53","13,25"
25/11/2022,2775,"13,53","13,25"
25/11/2022,2820,"13,53","13,27"
25/11/2022,2880,"13,53","13,27"
25/11/2022,2915,"13,53","13,27"
25/11/2022,2960,"13,53","13,27"
25/11/2022,3006,"13,52","13,27"
25/11/2022,3093,"13,51","13,25"
25/11/2022,3185,"13,50","13,25"
25/11/2022,3240,"13,50","13,25"
25/11/2022,3279,"13,49","13,24"
25/11/2022,3325,"13,49","13,24"
25/11/2022,3370,"13,49","13,23"
