Date,Dias Corridos,252(2)(4),360(1)
18/02/2014,1,"10,29","10,11"
18/02/2014,9,"10,36","11,58"
18/02/2014,10,"10,36","11,93"
18/02/2014,15,"10,37","8,82"
18/02/2014,24,"10,48","9,96"
18/02/2014,27,"10,49","9,39"
18/02/2014,30,"10,51","9,99"
18/02/2014,37,"10,54","10,15"
18/02/2014,38,"10,54","10,29"
18/02/2014,42,"10,55","10,02"
18/02/2014,56,"10,63","10,28"
18/02/2014,57,"10,63","10,38"
18/02/2014,63,"10,64","9,86"
18/02/2014,70,"10,66","9,98"
18/02/2014,71,"10,67","10,06"
18/02/2014,73,"10,67","9,99"
18/02/2014,85,"10,70","10,04"
18/02/2014,90,"10,71","9,99"
18/02/2014,104,"10,73","10,14"
18/02/2014,118,"10,78","10,28"
18/02/2014,120,"10,78","10,38"
18/02/2014,122,"10,79","10,34"
18/02/2014,132,"10,81","10,27"
18/02/2014,133,"10,81","10,31"
18/02/2014,147,"10,86","10,42"
18/02/2014,150,"10,87","10,54"
18/02/2014,164,"10,91","10,63"
18/02/2014,176,"10,93","10,63"
18/02/2014,178,"10,94","10,70"
18/02/2014,181,"10,94","10,60"
18/02/2014,195,"10,97","10,67"
18/02/2014,209,"10,99","10,73"
18/02/2014,210,"10,99","10,75"
18/02/2014,225,"11,01","10,83"
18/02/2014,239,"11,03","10,87"
18/02/2014,240,"11,04","10,90"
18/02/2014,258,"11,06","10,89"
18/02/2014,272,"11,08","10,93"
18/02/2014,286,"11,09","10,96"
18/02/2014,300,"11,11","10,99"
18/02/2014,302,"11,11","11,03"
18/02/2014,318,"11,12","10,98"
18/02/2014,330,"11,16","11,01"
18/02/2014,331,"11,16","11,03"
18/02/2014,349,"11,22","11,06"
18/02/2014,360,"11,25","11,16"
18/02/2014,365,"11,26","11,05"
18/02/2014,391,"11,32","11,12"
18/02/2014,407,"11,36","11,20"
18/02/2014,420,"11,40","11,19"
18/02/2014,421,"11,40","11,21"
18/02/2014,440,"11,45","11,18"
