Date,Dias Corridos,252(2)(4),360(1)
29/08/2018,1,"6,39","0,00"
29/08/2018,2,"6,39","9,25"
29/08/2018,5,"6,39","5,45"
29/08/2018,14,"6,43","5,89"
29/08/2018,19,"6,43","5,78"
29/08/2018,21,"6,43","6,12"
29/08/2018,22,"6,43","6,26"
29/08/2018,23,"6,44","6,39"
29/08/2018,29,"6,44","6,34"
29/08/2018,30,"6,44","6,44"
29/08/2018,33,"6,44","6,12"
29/08/2018,47,"6,47","6,09"
29/08/2018,49,"6,48","6,23"
29/08/2018,51,"6,48","6,35"
29/08/2018,61,"6,50","6,23"
29/08/2018,62,"6,50","6,28"
29/08/2018,63,"6,50","6,33"
29/08/2018,64,"6,50","6,38"
29/08/2018,77,"6,57","6,34"
29/08/2018,79,"6,58","6,30"
29/08/2018,90,"6,63","6,30"
29/08/2018,93,"6,65","6,42"
29/08/2018,96,"6,65","6,32"
29/08/2018,105,"6,71","6,47"
29/08/2018,110,"6,73","6,46"
29/08/2018,111,"6,74","6,49"
29/08/2018,113,"6,75","6,56"
29/08/2018,114,"6,76","6,60"
29/08/2018,120,"6,77","6,52"
29/08/2018,121,"6,78","6,56"
29/08/2018,126,"6,79","6,46"
29/08/2018,139,"6,88","6,56"
29/08/2018,152,"6,95","6,65"
29/08/2018,155,"6,97","6,73"
29/08/2018,156,"6,97","6,76"
29/08/2018,168,"7,05","6,83"
29/08/2018,170,"7,07","6,89"
29/08/2018,180,"7,13","6,89"
29/08/2018,182,"7,14","6,94"
29/08/2018,183,"7,15","6,97"
29/08/2018,184,"7,16","7,00"
29/08/2018,198,"7,22","6,98"
29/08/2018,204,"7,26","7,00"
29/08/2018,210,"7,28","7,03"
29/08/2018,212,"7,30","7,07"
29/08/2018,215,"7,31","7,03"
29/08/2018,229,"7,39","7,13"
29/08/2018,231,"7,40","7,18"
29/08/2018,240,"7,44","7,21"
29/08/2018,243,"7,45","7,17"
29/08/2018,246,"7,46","7,18"
29/08/2018,259,"7,53","7,26"
29/08/2018,271,"7,59","7,31"
29/08/2018,275,"7,61","7,39"
29/08/2018,278,"7,62","7,35"
29/08/2018,287,"7,67","7,43"
29/08/2018,300,"7,72","7,45"
29/08/2018,302,"7,73","7,49"
29/08/2018,306,"7,74","7,47"
29/08/2018,320,"7,81","7,56"
29/08/2018,330,"7,86","7,65"
29/08/2018,335,"7,88","7,65"
29/08/2018,337,"7,89","7,68"
29/08/2018,350,"7,95","7,74"
29/08/2018,351,"7,95","7,76"
29/08/2018,362,"7,99","7,78"
29/08/2018,366,"8,02","7,85"
29/08/2018,383,"8,08","7,88"
29/08/2018,387,"8,10","7,94"
29/08/2018,390,"8,10","7,92"
29/08/2018,397,"8,13","7,95"
29/08/2018,398,"8,13","7,96"
29/08/2018,412,"8,19","8,03"
29/08/2018,413,"8,20","8,04"
29/08/2018,420,"8,22","8,08"
29/08/2018,428,"8,26","8,12"
29/08/2018,446,"8,31","8,14"
29/08/2018,450,"8,33","8,19"
29/08/2018,476,"8,41","8,28"
29/08/2018,481,"8,43","8,28"
29/08/2018,491,"8,45","8,28"
29/08/2018,504,"8,50","8,33"
