Date,Dias Corridos,252(2)(4),360(1)
18/03/2025,1,"13,15","0,00"
18/03/2025,2,"13,60","19,98"
18/03/2025,3,"13,75","20,20"
18/03/2025,7,"13,87","14,17"
18/03/2025,8,"13,90","14,96"
18/03/2025,10,"13,94","16,08"
18/03/2025,13,"13,95","13,78"
18/03/2025,14,"13,96","14,26"
18/03/2025,21,"14,02","14,33"
18/03/2025,28,"14,06","14,36"
18/03/2025,29,"14,06","14,58"
18/03/2025,30,"14,07","14,78"
18/03/2025,38,"14,08","13,74"
18/03/2025,42,"14,09","13,37"
18/03/2025,43,"14,09","13,54"
18/03/2025,45,"14,09","13,38"
18/03/2025,57,"14,18","13,46"
18/03/2025,58,"14,19","13,60"
18/03/2025,59,"14,20","13,72"
18/03/2025,62,"14,21","13,37"
18/03/2025,65,"14,23","13,73"
18/03/2025,73,"14,27","13,94"
18/03/2025,76,"14,27","13,64"
18/03/2025,87,"14,33","14,10"
18/03/2025,90,"14,34","13,85"
18/03/2025,92,"14,35","14,01"
18/03/2025,94,"14,35","13,93"
18/03/2025,101,"14,38","14,01"
18/03/2025,104,"14,38","13,79"
18/03/2025,105,"14,38","13,86"
18/03/2025,119,"14,43","14,01"
18/03/2025,120,"14,44","14,07"
18/03/2025,127,"14,46","14,13"
18/03/2025,134,"14,48","14,18"
18/03/2025,135,"14,48","14,24"
18/03/2025,136,"14,49","14,29"
18/03/2025,148,"14,52","14,28"
18/03/2025,150,"14,52","14,38"
18/03/2025,163,"14,55","14,40"
18/03/2025,164,"14,56","14,45"
18/03/2025,167,"14,56","14,31"
18/03/2025,178,"14,59","14,51"
18/03/2025,181,"14,59","14,38"
18/03/2025,183,"14,59","14,46"
18/03/2025,184,"14,60","14,50"
18/03/2025,185,"14,60","14,54"
18/03/2025,188,"14,60","14,41"
18/03/2025,196,"14,62","14,48"
18/03/2025,197,"14,62","14,52"
18/03/2025,210,"14,64","14,53"
18/03/2025,211,"14,64","14,56"
18/03/2025,212,"14,64","14,60"
18/03/2025,226,"14,66","14,64"
18/03/2025,227,"14,66","14,67"
18/03/2025,230,"14,66","14,56"
18/03/2025,239,"14,67","14,64"
18/03/2025,240,"14,67","14,67"
18/03/2025,244,"14,67","14,60"
18/03/2025,246,"14,68","14,66"
18/03/2025,255,"14,69","14,64"
18/03/2025,258,"14,69","14,55"
18/03/2025,272,"14,71","14,59"
18/03/2025,274,"14,71","14,65"
18/03/2025,275,"14,71","14,67"
18/03/2025,276,"14,72","14,70"
18/03/2025,286,"14,73","14,55"
18/03/2025,287,"14,73","14,58"
18/03/2025,290,"14,73","14,57"
18/03/2025,300,"14,74","14,51"
18/03/2025,302,"14,74","14,56"
18/03/2025,303,"14,74","14,58"
18/03/2025,318,"14,75","14,63"
18/03/2025,321,"14,75","14,56"
18/03/2025,330,"14,75","14,62"
18/03/2025,337,"14,75","14,49"
18/03/2025,345,"14,76","14,53"
18/03/2025,346,"14,76","14,55"
18/03/2025,349,"14,76","14,48"
18/03/2025,360,"14,76","14,57"
18/03/2025,363,"14,76","14,50"
18/03/2025,365,"14,76","14,54"
18/03/2025,367,"14,75","14,58"
18/03/2025,370,"14,75","14,51"
18/03/2025,378,"14,75","14,54"
18/03/2025,379,"14,75","14,56"
18/03/2025,391,"14,74","14,47"
18/03/2025,393,"14,74","14,50"
18/03/2025,420,"14,71","14,39"
18/03/2025,421,"14,71","14,41"
18/03/2025,423,"14,71","14,44"
18/03/2025,450,"14,68","14,39"
18/03/2025,456,"14,68","14,38"
18/03/2025,470,"14,67","14,38"
18/03/2025,482,"14,65","14,35"
18/03/2025,510,"14,60","14,34"
18/03/2025,512,"14,60","14,36"
18/03/2025,517,"14,59","14,34"
18/03/2025,540,"14,56","14,31"
18/03/2025,546,"14,55","14,30"
18/03/2025,562,"14,53","14,31"
18/03/2025,570,"14,52","14,32"
18/03/2025,575,"14,51","14,26"
18/03/2025,601,"14,48","14,20"
18/03/2025,608,"14,47","14,20"
18/03/2025,630,"14,45","14,17"
18/03/2025,638,"14,44","14,18"
18/03/2025,640,"14,44","14,20"
18/03/2025,657,"14,42","14,09"
18/03/2025,660,"14,42","14,12"
18/03/2025,668,"14,41","14,13"
18/03/2025,694,"14,39","14,05"
18/03/2025,699,"14,39","14,04"
18/03/2025,701,"14,39","14,05"
18/03/2025,720,"14,38","14,04"
18/03/2025,744,"14,36","14,04"
18/03/2025,750,"14,35","14,03"
18/03/2025,780,"14,32","14,01"
18/03/2025,790,"14,31","13,98"
18/03/2025,811,"14,30","13,95"
