Date,Dias Corridos,252(2)(4),360(1)
16/03/2012,3,"9,49","9,25"
16/03/2012,13,"9,50","9,39"
16/03/2012,14,"9,50","9,71"
16/03/2012,17,"9,51","8,76"
16/03/2012,31,"9,40","8,63"
16/03/2012,42,"9,36","9,22"
16/03/2012,45,"9,35","8,89"
16/03/2012,47,"9,35","8,79"
16/03/2012,60,"9,25","8,79"
16/03/2012,75,"9,17","8,89"
16/03/2012,76,"9,16","8,95"
16/03/2012,77,"9,16","9,00"
16/03/2012,90,"9,11","8,81"
16/03/2012,91,"9,11","8,85"
16/03/2012,104,"9,07","8,83"
16/03/2012,105,"9,06","8,87"
16/03/2012,108,"9,06","8,74"
16/03/2012,122,"9,04","8,77"
16/03/2012,136,"9,02","8,80"
16/03/2012,137,"9,02","8,83"
16/03/2012,138,"9,02","8,86"
16/03/2012,150,"9,00","8,83"
16/03/2012,152,"9,00","8,88"
16/03/2012,167,"8,99","8,92"
16/03/2012,168,"8,99","8,94"
16/03/2012,171,"8,99","8,85"
16/03/2012,180,"8,98","8,83"
16/03/2012,185,"8,98","8,80"
16/03/2012,195,"8,97","8,87"
16/03/2012,196,"8,97","8,89"
16/03/2012,199,"8,97","8,82"
16/03/2012,213,"8,97","8,78"
16/03/2012,228,"8,97","8,82"
16/03/2012,229,"8,97","8,84"
16/03/2012,230,"8,97","8,86"
16/03/2012,241,"8,98","8,77"
16/03/2012,245,"8,98","8,78"
16/03/2012,258,"8,98","8,79"
16/03/2012,259,"8,98","8,81"
16/03/2012,262,"8,98","8,75"
16/03/2012,270,"8,98","8,78"
16/03/2012,276,"8,98","8,78"
16/03/2012,287,"8,98","8,80"
16/03/2012,290,"8,98","8,75"
16/03/2012,292,"8,98","8,73"
16/03/2012,300,"8,99","8,76"
16/03/2012,305,"8,99","8,75"
16/03/2012,320,"9,00","8,79"
16/03/2012,321,"9,01","8,81"
16/03/2012,334,"9,01","8,74"
16/03/2012,336,"9,01","8,77"
16/03/2012,348,"9,02","8,77"
16/03/2012,349,"9,02","8,78"
16/03/2012,360,"9,03","8,77"
16/03/2012,364,"9,03","8,82"
16/03/2012,376,"9,04","8,82"
16/03/2012,377,"9,04","8,83"
16/03/2012,381,"9,04","8,77"
16/03/2012,390,"9,06","8,82"
16/03/2012,395,"9,07","8,81"
16/03/2012,410,"9,10","8,87"
16/03/2012,420,"9,12","8,89"
16/03/2012,425,"9,12","8,88"
16/03/2012,441,"9,15","8,91"
16/03/2012,451,"9,16","8,90"
16/03/2012,469,"9,19","8,97"
16/03/2012,472,"9,19","8,95"
16/03/2012,480,"9,21","8,99"
16/03/2012,486,"9,23","9,00"
16/03/2012,502,"9,27","9,07"
16/03/2012,510,"9,29","9,10"
16/03/2012,532,"9,35","9,18"
16/03/2012,542,"9,36","9,17"
16/03/2012,563,"9,41","9,23"
16/03/2012,564,"9,41","9,24"
16/03/2012,570,"9,43","9,25"
16/03/2012,578,"9,45","9,29"
16/03/2012,594,"9,50","9,36"
16/03/2012,600,"9,51","9,37"
16/03/2012,612,"9,54","9,36"
16/03/2012,623,"9,57","9,43"
16/03/2012,630,"9,59","9,45"
16/03/2012,655,"9,64","9,47"
16/03/2012,657,"9,64","9,47"
16/03/2012,661,"9,65","9,46"
16/03/2012,670,"9,67","9,50"
16/03/2012,690,"9,72","9,55"
16/03/2012,720,"9,79","9,60"
16/03/2012,746,"9,84","9,66"
16/03/2012,752,"9,85","9,67"
16/03/2012,760,"9,87","9,69"
16/03/2012,780,"9,90","9,67"
16/03/2012,810,"9,96","9,75"
16/03/2012,836,"10,00","9,78"
16/03/2012,837,"10,00","9,79"
16/03/2012,840,"10,01","9,81"
16/03/2012,851,"10,02","9,82"
16/03/2012,871,"10,05","9,85"
16/03/2012,882,"10,07","9,90"
16/03/2012,900,"10,10","9,91"
16/03/2012,929,"10,14","9,97"
16/03/2012,930,"10,14","9,98"
16/03/2012,943,"10,16","10,00"
16/03/2012,962,"10,18","10,02"
16/03/2012,990,"10,22","10,06"
16/03/2012,1020,"10,25","10,10"
16/03/2012,1022,"10,25","10,09"
16/03/2012,1035,"10,27","10,11"
16/03/2012,1050,"10,29","10,15"
16/03/2012,1081,"10,33","10,15"
16/03/2012,1110,"10,37","10,20"
16/03/2012,1111,"10,37","10,21"
16/03/2012,1125,"10,39","10,22"
16/03/2012,1140,"10,41","10,23"
16/03/2012,1155,"10,43","10,25"
16/03/2012,1172,"10,45","10,26"
16/03/2012,1200,"10,49","10,29"
16/03/2012,1202,"10,49","10,30"
16/03/2012,1216,"10,50","10,32"
