Date,Dias Corridos,252(2)(4),360(1)
18/04/2012,1,"9,47","9,23"
18/04/2012,8,"8,88","9,54"
18/04/2012,9,"8,86","9,90"
18/04/2012,12,"8,85","8,41"
18/04/2012,14,"8,84","8,09"
18/04/2012,27,"8,80","8,36"
18/04/2012,30,"8,79","8,79"
18/04/2012,42,"8,78","8,66"
18/04/2012,43,"8,78","8,75"
18/04/2012,44,"8,78","8,84"
18/04/2012,58,"8,75","8,62"
18/04/2012,61,"8,75","8,39"
18/04/2012,64,"8,75","8,58"
18/04/2012,71,"8,74","8,61"
18/04/2012,72,"8,74","8,66"
18/04/2012,75,"8,74","8,48"
18/04/2012,89,"8,72","8,53"
18/04/2012,90,"8,72","8,58"
18/04/2012,103,"8,71","8,57"
18/04/2012,104,"8,71","8,61"
18/04/2012,105,"8,71","8,65"
18/04/2012,119,"8,70","8,67"
18/04/2012,120,"8,70","8,70"
18/04/2012,134,"8,69","8,71"
18/04/2012,135,"8,69","8,74"
18/04/2012,138,"8,69","8,63"
18/04/2012,152,"8,69","8,57"
18/04/2012,155,"8,68","8,64"
18/04/2012,162,"8,68","8,65"
18/04/2012,163,"8,68","8,67"
18/04/2012,166,"8,68","8,59"
18/04/2012,180,"8,68","8,53"
18/04/2012,195,"8,68","8,58"
18/04/2012,196,"8,68","8,60"
18/04/2012,197,"8,68","8,62"
18/04/2012,210,"8,67","8,55"
18/04/2012,212,"8,67","8,53"
18/04/2012,225,"8,67","8,53"
18/04/2012,226,"8,67","8,55"
18/04/2012,229,"8,67","8,49"
18/04/2012,240,"8,67","8,56"
18/04/2012,243,"8,67","8,51"
18/04/2012,254,"8,67","8,53"
18/04/2012,257,"8,67","8,47"
18/04/2012,259,"8,67","8,46"
18/04/2012,271,"8,67","8,45"
18/04/2012,272,"8,67","8,46"
18/04/2012,287,"8,67","8,49"
18/04/2012,288,"8,67","8,51"
18/04/2012,289,"8,67","8,52"
18/04/2012,301,"8,67","8,43"
18/04/2012,303,"8,67","8,45"
18/04/2012,315,"8,67","8,44"
18/04/2012,316,"8,67","8,46"
18/04/2012,317,"8,67","8,47"
18/04/2012,330,"8,67","8,47"
18/04/2012,331,"8,67","8,49"
18/04/2012,343,"8,67","8,48"
18/04/2012,344,"8,67","8,49"
18/04/2012,348,"8,67","8,43"
18/04/2012,362,"8,69","8,46"
18/04/2012,377,"8,70","8,50"
18/04/2012,390,"8,71","8,48"
18/04/2012,392,"8,71","8,50"
18/04/2012,408,"8,73","8,52"
18/04/2012,420,"8,74","8,52"
18/04/2012,436,"8,75","8,56"
18/04/2012,439,"8,75","8,53"
18/04/2012,450,"8,78","8,60"
18/04/2012,453,"8,78","8,58"
18/04/2012,469,"8,81","8,64"
18/04/2012,481,"8,84","8,65"
18/04/2012,499,"8,87","8,73"
18/04/2012,510,"8,89","8,73"
18/04/2012,530,"8,92","8,77"
18/04/2012,531,"8,92","8,78"
18/04/2012,540,"8,94","8,82"
18/04/2012,545,"8,95","8,82"
18/04/2012,561,"8,99","8,88"
18/04/2012,572,"9,01","8,88"
18/04/2012,579,"9,02","8,87"
18/04/2012,590,"9,04","8,93"
18/04/2012,600,"9,06","8,92"
18/04/2012,622,"9,10","8,96"
18/04/2012,624,"9,10","8,95"
18/04/2012,630,"9,11","8,96"
18/04/2012,637,"9,13","8,98"
18/04/2012,660,"9,17","9,05"
18/04/2012,691,"9,22","9,05"
18/04/2012,698,"9,23","9,06"
18/04/2012,713,"9,26","9,10"
18/04/2012,720,"9,28","9,12"
18/04/2012,727,"9,29","9,14"
18/04/2012,750,"9,34","9,15"
18/04/2012,782,"9,41","9,22"
18/04/2012,803,"9,45","9,25"
18/04/2012,804,"9,45","9,26"
18/04/2012,810,"9,46","9,27"
18/04/2012,818,"9,48","9,29"
18/04/2012,840,"9,51","9,34"
18/04/2012,849,"9,53","9,37"
18/04/2012,870,"9,56","9,41"
18/04/2012,896,"9,60","9,45"
18/04/2012,901,"9,61","9,45"
18/04/2012,910,"9,62","9,47"
18/04/2012,930,"9,64","9,50"
18/04/2012,960,"9,67","9,55"
18/04/2012,989,"9,69","9,55"
18/04/2012,992,"9,69","9,54"
18/04/2012,1002,"9,70","9,57"
18/04/2012,1020,"9,72","9,58"
18/04/2012,1050,"9,75","9,60"
18/04/2012,1062,"9,76","9,61"
18/04/2012,1078,"9,78","9,64"
18/04/2012,1083,"9,78","9,62"
18/04/2012,1092,"9,79","9,64"
18/04/2012,1111,"9,81","9,63"
18/04/2012,1122,"9,83","9,66"
18/04/2012,1140,"9,84","9,67"
18/04/2012,1169,"9,87","9,70"
18/04/2012,1170,"9,87","9,71"
18/04/2012,1183,"9,89","9,72"
18/04/2012,1202,"9,90","9,74"
18/04/2012,1261,"9,96","9,81"
18/04/2012,1275,"9,98","9,82"
18/04/2012,1356,"10,06","9,88"
18/04/2012,1367,"10,07","9,90"
18/04/2012,1427,"10,09","9,91"
18/04/2012,1440,"10,10","9,91"
18/04/2012,1444,"10,10","9,92"
18/04/2012,1458,"10,10","9,93"
18/04/2012,1535,"10,13","9,96"
18/04/2012,1549,"10,13","9,96"
18/04/2012,1580,"10,14","9,97"
18/04/2012,1629,"10,15","9,98"
18/04/2012,1643,"10,16","9,98"
18/04/2012,1720,"10,20","10,02"
18/04/2012,1734,"10,21","10,03"
18/04/2012,1792,"10,24","10,07"
18/04/2012,1800,"10,25","10,07"
18/04/2012,1811,"10,25","10,07"
18/04/2012,1825,"10,26","10,07"
18/04/2012,1853,"10,27","10,07"
18/04/2012,1902,"10,29","10,10"
18/04/2012,1916,"10,29","10,11"
18/04/2012,1993,"10,32","10,14"
18/04/2012,2007,"10,33","10,14"
18/04/2012,2085,"10,35","10,15"
18/04/2012,2098,"10,35","10,16"
18/04/2012,2161,"10,37","10,17"
18/04/2012,2175,"10,38","10,17"
18/04/2012,2189,"10,38","10,18"
18/04/2012,2266,"10,40","10,20"
18/04/2012,2280,"10,40","10,20"
18/04/2012,2310,"10,41","10,22"
18/04/2012,2357,"10,42","10,23"
18/04/2012,2371,"10,42","10,23"
18/04/2012,2450,"10,44","10,24"
18/04/2012,2463,"10,45","10,24"
18/04/2012,2520,"10,47","10,27"
18/04/2012,2539,"10,48","10,27"
18/04/2012,2553,"10,49","10,28"
18/04/2012,2630,"10,52","10,31"
18/04/2012,2644,"10,52","10,32"
18/04/2012,2675,"10,54","10,34"
18/04/2012,2722,"10,56","10,36"
18/04/2012,2736,"10,56","10,37"
18/04/2012,2815,"10,59","10,40"
18/04/2012,2828,"10,60","10,40"
18/04/2012,2882,"10,63","10,43"
18/04/2012,2905,"10,65","10,45"
18/04/2012,2919,"10,66","10,46"
18/04/2012,2996,"10,71","10,50"
18/04/2012,3010,"10,71","10,51"
18/04/2012,3043,"10,73","10,53"
18/04/2012,3088,"10,76","10,56"
18/04/2012,3102,"10,75","10,55"
18/04/2012,3183,"10,71","10,50"
18/04/2012,3194,"10,71","10,51"
18/04/2012,3240,"10,73","10,52"
18/04/2012,3270,"10,74","10,53"
18/04/2012,3284,"10,74","10,53"
18/04/2012,3361,"10,76","10,56"
18/04/2012,3375,"10,77","10,56"
18/04/2012,3407,"10,77","10,57"
18/04/2012,3453,"10,79","10,59"
18/04/2012,3467,"10,79","10,59"
18/04/2012,3547,"10,81","10,60"
18/04/2012,3561,"10,82","10,61"
18/04/2012,3600,"10,83","10,63"
18/04/2012,3635,"10,84","10,64"
18/04/2012,3652,"10,84","10,64"
18/04/2012,3726,"10,87","10,66"
18/04/2012,3740,"10,87","10,67"
18/04/2012,3771,"10,88","10,68"
18/04/2012,3820,"10,90","10,69"
18/04/2012,3834,"10,90","10,69"
18/04/2012,3911,"10,92","10,72"
18/04/2012,3925,"10,92","10,72"
18/04/2012,3962,"10,92","10,72"
18/04/2012,3983,"10,92","10,72"
18/04/2012,4002,"10,92","10,72"
18/04/2012,4016,"10,92","10,71"
18/04/2012,4093,"10,92","10,71"
18/04/2012,4107,"10,92","10,71"
18/04/2012,4136,"10,92","10,72"
18/04/2012,4184,"10,92","10,72"
18/04/2012,4198,"10,92","10,71"
18/04/2012,4320,"10,92","10,71"
18/04/2012,4502,"10,92","10,71"
18/04/2012,4681,"10,92","10,72"
18/04/2012,5040,"10,92","10,72"
18/04/2012,5402,"10,92","10,72"
18/04/2012,5580,"10,92","10,72"
