Date,Dias Corridos,252(2)(4),360(1)
28/11/2014,3,"11,06","10,78"
28/11/2014,17,"11,46","10,55"
28/11/2014,19,"11,47","11,19"
28/11/2014,20,"11,47","11,47"
28/11/2014,21,"11,47","11,72"
28/11/2014,31,"11,48","10,53"
28/11/2014,32,"11,48","10,73"
28/11/2014,33,"11,48","10,91"
28/11/2014,35,"11,48","10,74"
28/11/2014,48,"11,56","10,98"
28/11/2014,60,"11,61","11,02"
28/11/2014,63,"11,62","11,31"
28/11/2014,66,"11,62","11,04"
28/11/2014,82,"11,70","10,97"
28/11/2014,90,"11,73","11,14"
28/11/2014,91,"11,74","11,21"
28/11/2014,94,"11,74","11,03"
28/11/2014,101,"11,80","11,15"
28/11/2014,108,"11,85","11,26"
28/11/2014,112,"11,89","11,50"
28/11/2014,115,"11,90","11,35"
28/11/2014,122,"11,94","11,43"
28/11/2014,123,"11,94","11,49"
28/11/2014,124,"11,95","11,54"
28/11/2014,138,"12,01","11,53"
28/11/2014,150,"12,04","11,44"
28/11/2014,152,"12,05","11,52"
28/11/2014,153,"12,06","11,57"
28/11/2014,157,"12,06","11,38"
28/11/2014,168,"12,10","11,60"
28/11/2014,180,"12,12","11,62"
28/11/2014,182,"12,13","11,69"
28/11/2014,185,"12,13","11,59"
28/11/2014,199,"12,16","11,58"
28/11/2014,201,"12,17","11,64"
28/11/2014,203,"12,17","11,71"
28/11/2014,210,"12,18","11,75"
28/11/2014,213,"12,19","11,66"
28/11/2014,214,"12,19","11,69"
28/11/2014,215,"12,19","11,72"
28/11/2014,229,"12,24","11,81"
28/11/2014,241,"12,27","11,83"
28/11/2014,244,"12,28","11,92"
28/11/2014,245,"12,28","11,94"
28/11/2014,248,"12,29","11,87"
28/11/2014,257,"12,31","11,96"
28/11/2014,262,"12,32","11,94"
28/11/2014,270,"12,34","12,00"
28/11/2014,273,"12,35","12,07"
28/11/2014,276,"12,35","12,00"
28/11/2014,277,"12,36","12,02"
28/11/2014,284,"12,37","11,99"
28/11/2014,291,"12,38","12,01"
28/11/2014,294,"12,39","12,08"
28/11/2014,298,"12,39","12,04"
28/11/2014,300,"12,40","12,09"
28/11/2014,306,"12,41","12,09"
28/11/2014,307,"12,41","12,11"
28/11/2014,320,"12,42","12,07"
28/11/2014,321,"12,42","12,09"
28/11/2014,332,"12,43","12,06"
28/11/2014,335,"12,43","12,12"
28/11/2014,336,"12,43","12,14"
28/11/2014,340,"12,43","12,04"
28/11/2014,353,"12,44","12,06"
28/11/2014,360,"12,44","12,08"
28/11/2014,367,"12,45","12,09"
28/11/2014,368,"12,45","12,11"
28/11/2014,383,"12,45","12,15"
28/11/2014,385,"12,45","12,18"
28/11/2014,390,"12,46","12,17"
28/11/2014,402,"12,46","12,07"
28/11/2014,413,"12,46","12,14"
28/11/2014,420,"12,46","12,15"
28/11/2014,430,"12,46","12,11"
28/11/2014,444,"12,47","12,05"
28/11/2014,451,"12,47","12,06"
28/11/2014,459,"12,47","12,09"
28/11/2014,473,"12,47","12,11"
28/11/2014,480,"12,47","12,12"
28/11/2014,490,"12,47","12,12"
28/11/2014,504,"12,46","12,13"
28/11/2014,511,"12,45","12,09"
28/11/2014,521,"12,44","12,06"
28/11/2014,535,"12,43","12,06"
28/11/2014,542,"12,42","12,06"
28/11/2014,570,"12,40","12,04"
28/11/2014,581,"12,39","12,08"
28/11/2014,595,"12,38","12,08"
28/11/2014,600,"12,37","12,06"
28/11/2014,626,"12,35","12,05"
28/11/2014,630,"12,35","12,08"
28/11/2014,650,"12,34","12,05"
28/11/2014,657,"12,33","12,05"
28/11/2014,661,"12,33","12,03"
28/11/2014,675,"12,32","12,03"
28/11/2014,689,"12,30","11,99"
28/11/2014,690,"12,30","12,00"
28/11/2014,704,"12,27","11,99"
28/11/2014,719,"12,25","11,93"
28/11/2014,720,"12,25","11,94"
28/11/2014,752,"12,20","11,90"
28/11/2014,766,"12,18","11,89"
28/11/2014,780,"12,17","11,89"
28/11/2014,810,"12,15","11,90"
28/11/2014,830,"12,14","11,86"
28/11/2014,838,"12,14","11,86"
28/11/2014,840,"12,14","11,88"
28/11/2014,857,"12,13","11,85"
28/11/2014,871,"12,12","11,83"
28/11/2014,886,"12,10","11,79"
28/11/2014,899,"12,09","11,78"
28/11/2014,900,"12,09","11,78"
28/11/2014,931,"12,06","11,77"
28/11/2014,948,"12,04","11,74"
28/11/2014,962,"12,03","11,74"
28/11/2014,990,"12,02","11,74"
28/11/2014,991,"12,02","11,75"
28/11/2014,1015,"12,01","11,75"
28/11/2014,1020,"12,00","11,74"
28/11/2014,1022,"12,00","11,75"
28/11/2014,1039,"12,00","11,73"
28/11/2014,1050,"11,99","11,73"
28/11/2014,1053,"11,99","11,71"
28/11/2014,1081,"11,98","11,70"
28/11/2014,1084,"11,98","11,70"
28/11/2014,1110,"11,97","11,69"
28/11/2014,1131,"11,96","11,66"
28/11/2014,1140,"11,96","11,67"
28/11/2014,1144,"11,96","11,66"
28/11/2014,1174,"11,96","11,65"
28/11/2014,1175,"11,96","11,66"
28/11/2014,1189,"11,95","11,66"
28/11/2014,1200,"11,95","11,65"
28/11/2014,1203,"11,95","11,67"
28/11/2014,1221,"11,95","11,64"
28/11/2014,1235,"11,95","11,65"
28/11/2014,1251,"11,95","11,65"
28/11/2014,1264,"11,95","11,65"
28/11/2014,1312,"11,95","11,66"
28/11/2014,1326,"11,95","11,66"
28/11/2014,1356,"11,95","11,68"
28/11/2014,1375,"11,94","11,67"
28/11/2014,1389,"11,94","11,66"
28/11/2014,1403,"11,94","11,67"
28/11/2014,1417,"11,93","11,65"
28/11/2014,1440,"11,92","11,64"
28/11/2014,1449,"11,91","11,63"
28/11/2014,1496,"11,88","11,59"
28/11/2014,1509,"11,88","11,59"
28/11/2014,1540,"11,89","11,62"
28/11/2014,1554,"11,89","11,62"
28/11/2014,1568,"11,89","11,61"
28/11/2014,1585,"11,89","11,60"
28/11/2014,1599,"11,88","11,60"
28/11/2014,1616,"11,88","11,59"
28/11/2014,1629,"11,87","11,58"
28/11/2014,1676,"11,85","11,56"
28/11/2014,1690,"11,84","11,56"
28/11/2014,1721,"11,82","11,56"
28/11/2014,1753,"11,81","11,54"
28/11/2014,1768,"11,80","11,54"
28/11/2014,1782,"11,79","11,53"
28/11/2014,1802,"11,77","11,51"
28/11/2014,1816,"11,75","11,50"
28/11/2014,1861,"11,71","11,46"
28/11/2014,1874,"11,71","11,46"
28/11/2014,1907,"11,71","11,46"
28/11/2014,1921,"11,72","11,45"
28/11/2014,1935,"11,72","11,46"
28/11/2014,1951,"11,72","11,47"
28/11/2014,1965,"11,72","11,46"
28/11/2014,1995,"11,72","11,46"
28/11/2014,2042,"11,72","11,46"
28/11/2014,2056,"11,73","11,47"
28/11/2014,2089,"11,73","11,47"
28/11/2014,2118,"11,73","11,47"
28/11/2014,2134,"11,73","11,48"
28/11/2014,2148,"11,72","11,46"
28/11/2014,2160,"11,70","11,45"
28/11/2014,2180,"11,68","11,42"
28/11/2014,2229,"11,63","11,37"
28/11/2014,2240,"11,63","11,38"
28/11/2014,2273,"11,63","11,36"
28/11/2014,2299,"11,63","11,36"
28/11/2014,2316,"11,63","11,37"
28/11/2014,2330,"11,62","11,37"
28/11/2014,2362,"11,62","11,36"
28/11/2014,2407,"11,62","11,37"
28/11/2014,2421,"11,62","11,37"
28/11/2014,2453,"11,62","11,37"
28/11/2014,2483,"11,62","11,37"
28/11/2014,2499,"11,61","11,37"
28/11/2014,2513,"11,61","11,37"
28/11/2014,2520,"11,61","11,37"
28/11/2014,2545,"11,61","11,35"
28/11/2014,2593,"11,61","11,36"
28/11/2014,2607,"11,61","11,36"
28/11/2014,2636,"11,60","11,36"
28/11/2014,2664,"11,59","11,35"
28/11/2014,2681,"11,59","11,35"
28/11/2014,2698,"11,59","11,34"
28/11/2014,2726,"11,58","11,33"
28/11/2014,2772,"11,57","11,33"
28/11/2014,2786,"11,57","11,33"
28/11/2014,2817,"11,56","11,32"
28/11/2014,2848,"11,55","11,32"
28/11/2014,2866,"11,55","11,31"
28/11/2014,2880,"11,55","11,30"
28/11/2014,2910,"11,54","11,29"
28/11/2014,2957,"11,53","11,29"
28/11/2014,2971,"11,53","11,29"
28/11/2014,3001,"11,53","11,30"
28/11/2014,3029,"11,53","11,29"
28/11/2014,3048,"11,53","11,29"
28/11/2014,3062,"11,53","11,29"
28/11/2014,3090,"11,53","11,28"
28/11/2014,3121,"11,53","11,29"
28/11/2014,3139,"11,53","11,28"
28/11/2014,3153,"11,53","11,29"
28/11/2014,3182,"11,53","11,29"
28/11/2014,3230,"11,53","11,29"
28/11/2014,3241,"11,53","11,30"
28/11/2014,3244,"11,53","11,29"
28/11/2014,3275,"11,53","11,29"
28/11/2014,3322,"11,53","11,28"
28/11/2014,3366,"11,53","11,28"
28/11/2014,3456,"11,53","11,28"
28/11/2014,3503,"11,53","11,28"
28/11/2014,3548,"11,53","11,29"
28/11/2014,3601,"11,53","11,30"
28/11/2014,3643,"11,53","11,30"
28/11/2014,3688,"11,53","11,30"
28/11/2014,3734,"11,53","11,30"
28/11/2014,3821,"11,53","11,29"
28/11/2014,3868,"11,53","11,29"
28/11/2014,3913,"11,53","11,30"
28/11/2014,3960,"11,53","11,30"
28/11/2014,4007,"11,53","11,31"
28/11/2014,4053,"11,53","11,31"
28/11/2014,4100,"11,53","11,30"
28/11/2014,4186,"11,53","11,30"
28/11/2014,4233,"11,53","11,30"
28/11/2014,4280,"11,53","11,30"
28/11/2014,4322,"11,53","11,30"
28/11/2014,4371,"11,53","11,30"
28/11/2014,4420,"11,53","11,30"
28/11/2014,4462,"11,53","11,29"
28/11/2014,4553,"11,53","11,30"
28/11/2014,4598,"11,53","11,30"
28/11/2014,4644,"11,53","11,30"
28/11/2014,4680,"11,53","11,30"
28/11/2014,4736,"11,53","11,30"
28/11/2014,4784,"11,53","11,30"
28/11/2014,4827,"11,53","11,31"
28/11/2014,4917,"11,53","11,30"
28/11/2014,4966,"11,53","11,30"
28/11/2014,5009,"11,53","11,30"
28/11/2014,5040,"11,53","11,31"
28/11/2014,5102,"11,53","11,30"
28/11/2014,5149,"11,53","11,30"
28/11/2014,5193,"11,53","11,30"
28/11/2014,5282,"11,53","11,30"
28/11/2014,5330,"11,53","11,30"
28/11/2014,5360,"11,53","11,30"
28/11/2014,5374,"11,53","11,30"
28/11/2014,5400,"11,53","11,30"
28/11/2014,5467,"11,53","11,30"
28/11/2014,5514,"11,53","11,29"
28/11/2014,5558,"11,53","11,30"
28/11/2014,5582,"11,53","11,29"
28/11/2014,5647,"11,53","11,29"
28/11/2014,5694,"11,53","11,29"
28/11/2014,5739,"11,53","11,30"
28/11/2014,5834,"11,53","11,30"
28/11/2014,5879,"11,53","11,30"
28/11/2014,5925,"11,53","11,30"
28/11/2014,6012,"11,53","11,30"
28/11/2014,6104,"11,53","11,30"
28/11/2014,6198,"11,53","11,31"
28/11/2014,6289,"11,53","11,30"
28/11/2014,6380,"11,53","11,30"
28/11/2014,6471,"11,53","11,31"
28/11/2014,6563,"11,53","11,30"
28/11/2014,6654,"11,53","11,31"
28/11/2014,6744,"11,53","11,31"
28/11/2014,6835,"11,53","11,31"
28/11/2014,6928,"11,53","11,31"
28/11/2014,7019,"11,53","11,31"
28/11/2014,7108,"11,53","11,31"
28/11/2014,7200,"11,53","11,31"
28/11/2014,7293,"11,53","11,31"
28/11/2014,7384,"11,53","11,30"
28/11/2014,7473,"11,53","11,30"
28/11/2014,7565,"11,53","11,31"
28/11/2014,7658,"11,53","11,31"
28/11/2014,7749,"11,53","11,31"
28/11/2014,7839,"11,53","11,30"
28/11/2014,7931,"11,53","11,31"
28/11/2014,8025,"11,53","11,31"
28/11/2014,8118,"11,53","11,31"
28/11/2014,8204,"11,53","11,31"
28/11/2014,8298,"11,53","11,31"
