Date,Dias Corridos,252(2)(4),360(1)
08/12/2017,3,"6,89","0,00"
08/12/2017,5,"6,89","5,88"
08/12/2017,7,"6,89","7,04"
08/12/2017,11,"6,89","6,25"
08/12/2017,13,"6,89","6,81"
08/12/2017,19,"6,89","6,20"
08/12/2017,20,"6,89","6,39"
08/12/2017,25,"6,89","5,88"
08/12/2017,31,"6,89","6,01"
08/12/2017,33,"6,89","6,25"
08/12/2017,38,"6,89","6,20"
08/12/2017,40,"6,89","6,38"
08/12/2017,42,"6,89","6,55"
08/12/2017,49,"6,89","6,62"
08/12/2017,53,"6,89","6,49"
08/12/2017,54,"6,89","6,55"
08/12/2017,55,"6,89","6,61"
08/12/2017,60,"6,88","6,54"
08/12/2017,68,"6,87","6,34"
08/12/2017,69,"6,87","6,38"
08/12/2017,74,"6,86","6,34"
08/12/2017,81,"6,85","6,39"
08/12/2017,82,"6,85","6,43"
08/12/2017,83,"6,85","6,47"
08/12/2017,90,"6,83","6,50"
08/12/2017,96,"6,82","6,49"
08/12/2017,97,"6,82","6,52"
08/12/2017,98,"6,82","6,55"
08/12/2017,102,"6,81","6,48"
08/12/2017,103,"6,81","6,51"
08/12/2017,111,"6,80","6,55"
08/12/2017,115,"6,80","6,40"
08/12/2017,122,"6,79","6,43"
08/12/2017,129,"6,78","6,45"
08/12/2017,131,"6,78","6,50"
08/12/2017,140,"6,78","6,56"
08/12/2017,143,"6,78","6,49"
08/12/2017,145,"6,78","6,47"
08/12/2017,150,"6,77","6,44"
08/12/2017,158,"6,77","6,48"
08/12/2017,165,"6,76","6,49"
08/12/2017,173,"6,76","6,52"
08/12/2017,175,"6,76","6,50"
08/12/2017,180,"6,76","6,48"
08/12/2017,187,"6,76","6,50"
08/12/2017,189,"6,76","6,54"
08/12/2017,202,"6,77","6,55"
08/12/2017,206,"6,77","6,51"
08/12/2017,210,"6,77","6,58"
08/12/2017,220,"6,77","6,54"
08/12/2017,227,"6,77","6,56"
08/12/2017,234,"6,78","6,57"
08/12/2017,235,"6,78","6,59"
08/12/2017,236,"6,78","6,60"
08/12/2017,241,"6,79","6,59"
08/12/2017,250,"6,80","6,64"
08/12/2017,265,"6,82","6,69"
08/12/2017,266,"6,82","6,70"
08/12/2017,269,"6,83","6,67"
08/12/2017,270,"6,83","6,68"
08/12/2017,283,"6,84","6,66"
08/12/2017,286,"6,84","6,69"
