Date,Dias Corridos,252(2)(4),360(1)
14/08/2025,1,"14,90","0,00"
14/08/2025,7,"14,91","15,23"
14/08/2025,13,"14,91","14,73"
14/08/2025,14,"14,91","15,23"
14/08/2025,15,"14,91","15,67"
14/08/2025,18,"14,91","14,15"
14/08/2025,21,"14,91","15,23"
14/08/2025,29,"14,91","15,46"
14/08/2025,32,"14,91","14,62"
14/08/2025,33,"14,91","14,84"
14/08/2025,34,"14,91","15,04"
14/08/2025,35,"14,91","15,23"
14/08/2025,36,"14,91","15,42"
14/08/2025,39,"14,91","14,73"
14/08/2025,43,"14,91","15,39"
14/08/2025,46,"14,91","14,81"
14/08/2025,47,"14,91","14,96"
14/08/2025,48,"14,91","15,10"
14/08/2025,60,"14,91","14,91"
14/08/2025,62,"14,91","15,13"
14/08/2025,63,"14,91","15,24"
14/08/2025,64,"14,91","15,34"
14/08/2025,76,"14,91","15,15"
14/08/2025,77,"14,91","15,24"
14/08/2025,78,"14,91","15,32"
14/08/2025,81,"14,91","15,00"
14/08/2025,90,"14,91","15,17"
14/08/2025,95,"14,91","15,03"
14/08/2025,96,"14,91","15,10"
14/08/2025,97,"14,91","15,17"
14/08/2025,106,"14,92","15,09"
14/08/2025,109,"14,92","14,85"
14/08/2025,120,"14,90","15,09"
14/08/2025,123,"14,90","14,88"
14/08/2025,124,"14,90","14,94"
14/08/2025,125,"14,90","14,99"
14/08/2025,126,"14,90","15,04"
14/08/2025,127,"14,90","15,10"
14/08/2025,131,"14,90","14,95"
14/08/2025,134,"14,90","14,93"
14/08/2025,137,"14,89","14,74"
14/08/2025,138,"14,89","14,79"
14/08/2025,141,"14,89","14,78"
14/08/2025,151,"14,88","14,63"
14/08/2025,153,"14,88","14,72"
14/08/2025,154,"14,88","14,76"
14/08/2025,161,"14,88","14,78"
14/08/2025,169,"14,87","14,83"
14/08/2025,172,"14,87","14,68"
14/08/2025,180,"14,86","14,73"
14/08/2025,188,"14,85","14,54"
14/08/2025,196,"14,84","14,59"
14/08/2025,197,"14,84","14,62"
14/08/2025,200,"14,84","14,50"
14/08/2025,210,"14,82","14,60"
14/08/2025,214,"14,81","14,52"
14/08/2025,216,"14,81","14,58"
14/08/2025,218,"14,80","14,64"
14/08/2025,221,"14,80","14,52"
14/08/2025,229,"14,79","14,56"
14/08/2025,230,"14,79","14,59"
14/08/2025,242,"14,76","14,45"
14/08/2025,244,"14,76","14,50"
14/08/2025,245,"14,76","14,53"
14/08/2025,259,"14,73","14,45"
14/08/2025,263,"14,73","14,29"
14/08/2025,270,"14,71","14,29"
14/08/2025,272,"14,70","14,34"
14/08/2025,274,"14,69","14,38"
14/08/2025,280,"14,67","14,35"
14/08/2025,288,"14,65","14,37"
14/08/2025,291,"14,65","14,29"
14/08/2025,300,"14,62","14,25"
14/08/2025,307,"14,60","14,24"
14/08/2025,309,"14,59","14,28"
14/08/2025,319,"14,57","14,20"
14/08/2025,320,"14,56","14,22"
14/08/2025,321,"14,56","14,23"
14/08/2025,330,"14,53","14,26"
14/08/2025,335,"14,52","14,22"
14/08/2025,343,"14,49","14,23"
14/08/2025,350,"14,47","14,22"
14/08/2025,351,"14,47","14,23"
14/08/2025,354,"14,46","14,16"
14/08/2025,361,"14,44","14,15"
14/08/2025,363,"14,43","14,18"
14/08/2025,368,"14,41","14,14"
14/08/2025,382,"14,37","14,11"
14/08/2025,383,"14,36","14,13"
14/08/2025,390,"14,34","14,06"
14/08/2025,397,"14,31","14,04"
14/08/2025,398,"14,31","14,05"
14/08/2025,404,"14,29","14,03"
14/08/2025,412,"14,26","14,03"
14/08/2025,413,"14,25","14,04"
14/08/2025,420,"14,22","14,02"
14/08/2025,426,"14,21","13,94"
14/08/2025,452,"14,12","13,81"
14/08/2025,459,"14,09","13,80"
14/08/2025,461,"14,08","13,82"
14/08/2025,462,"14,08","13,83"
14/08/2025,474,"14,05","13,74"
14/08/2025,480,"14,03","13,72"
14/08/2025,489,"13,99","13,72"
14/08/2025,491,"13,98","13,74"
14/08/2025,508,"13,94","13,58"
14/08/2025,510,"13,93","13,60"
14/08/2025,519,"13,90","13,61"
14/08/2025,540,"13,84","13,57"
14/08/2025,550,"13,83","13,45"
14/08/2025,552,"13,82","13,46"
14/08/2025,571,"13,77","13,42"
14/08/2025,595,"13,72","13,38"
14/08/2025,600,"13,70","13,36"
14/08/2025,608,"13,68","13,35"
14/08/2025,630,"13,62","13,30"
14/08/2025,641,"13,60","13,25"
14/08/2025,662,"13,55","13,20"
14/08/2025,671,"13,53","13,20"
14/08/2025,686,"13,50","13,19"
14/08/2025,690,"13,49","13,16"
14/08/2025,718,"13,44","13,14"
14/08/2025,720,"13,44","13,15"
14/08/2025,732,"13,42","13,13"
14/08/2025,750,"13,39","13,14"
14/08/2025,762,"13,37","13,10"
14/08/2025,778,"13,35","13,10"
14/08/2025,781,"13,35","13,07"
14/08/2025,811,"13,30","13,01"
14/08/2025,824,"13,28","12,97"
14/08/2025,840,"13,25","12,97"
14/08/2025,853,"13,24","12,95"
14/08/2025,872,"13,21","12,92"
14/08/2025,900,"13,19","12,92"
14/08/2025,915,"13,17","12,92"
14/08/2025,930,"13,17","12,89"
14/08/2025,960,"13,14","12,89"
14/08/2025,963,"13,14","12,87"
14/08/2025,992,"13,14","12,83"
14/08/2025,1005,"13,14","12,83"
14/08/2025,1020,"13,13","12,84"
14/08/2025,1050,"13,13","12,84"
14/08/2025,1054,"13,13","12,83"
14/08/2025,1082,"13,13","12,85"
14/08/2025,1097,"13,13","12,86"
14/08/2025,1110,"13,13","12,86"
14/08/2025,1140,"13,13","12,87"
14/08/2025,1145,"13,13","12,86"
14/08/2025,1170,"13,13","12,88"
14/08/2025,1190,"13,13","12,85"
14/08/2025,1201,"13,13","12,82"
14/08/2025,1237,"13,13","12,81"
14/08/2025,1281,"13,14","12,82"
14/08/2025,1327,"13,16","12,83"
14/08/2025,1370,"13,18","12,86"
14/08/2025,1418,"13,21","12,89"
14/08/2025,1440,"13,21","12,91"
14/08/2025,1448,"13,22","12,92"
14/08/2025,1462,"13,22","12,93"
14/08/2025,1509,"13,23","12,94"
14/08/2025,1555,"13,26","12,95"
14/08/2025,1602,"13,28","12,94"
14/08/2025,1646,"13,29","12,98"
14/08/2025,1691,"13,31","12,97"
14/08/2025,1735,"13,32","12,99"
14/08/2025,1782,"13,33","13,00"
14/08/2025,1800,"13,34","13,03"
14/08/2025,1827,"13,35","13,04"
14/08/2025,1861,"13,37","13,07"
14/08/2025,1874,"13,38","13,07"
14/08/2025,1922,"13,39","13,09"
14/08/2025,1952,"13,40","13,10"
14/08/2025,1967,"13,40","13,09"
14/08/2025,2013,"13,42","13,11"
14/08/2025,2100,"13,45","13,13"
14/08/2025,2160,"13,47","13,14"
14/08/2025,2192,"13,48","13,17"
14/08/2025,2286,"13,50","13,21"
14/08/2025,2332,"13,51","13,22"
14/08/2025,2377,"13,52","13,21"
14/08/2025,2468,"13,53","13,22"
14/08/2025,2520,"13,54","13,24"
14/08/2025,2559,"13,54","13,25"
14/08/2025,2651,"13,55","13,25"
14/08/2025,2699,"13,55","13,26"
14/08/2025,2742,"13,55","13,27"
14/08/2025,2832,"13,55","13,26"
14/08/2025,2881,"13,55","13,26"
14/08/2025,2923,"13,55","13,27"
14/08/2025,3016,"13,55","13,26"
14/08/2025,3063,"13,55","13,27"
14/08/2025,3107,"13,55","13,28"
14/08/2025,3196,"13,56","13,26"
14/08/2025,3240,"13,56","13,27"
14/08/2025,3288,"13,56","13,28"
14/08/2025,3381,"13,56","13,27"
14/08/2025,3428,"13,56","13,26"
14/08/2025,3472,"13,55","13,25"
14/08/2025,3561,"13,55","13,25"
14/08/2025,3602,"13,54","13,24"
14/08/2025,3653,"13,54","13,25"
14/08/2025,3746,"13,53","13,24"
14/08/2025,3793,"13,53","13,23"
14/08/2025,3837,"13,53","13,23"
14/08/2025,3927,"13,52","13,21"
14/08/2025,3960,"13,52","13,20"
14/08/2025,4019,"13,51","13,21"
14/08/2025,4113,"13,50","13,21"
14/08/2025,4159,"13,50","13,21"
14/08/2025,4206,"13,49","13,19"
14/08/2025,4292,"13,48","13,18"
14/08/2025,4320,"13,47","13,18"
14/08/2025,4386,"13,46","13,17"
14/08/2025,4477,"13,45","13,15"
14/08/2025,4526,"13,44","13,14"
14/08/2025,4568,"13,44","13,14"
14/08/2025,4659,"13,43","13,12"
14/08/2025,4680,"13,42","13,12"
