date,curve_spread,1y1y,3y3y,std_4y,std_4y_zscore,std_4y_pctile,prob_high_vol,pca1,pca_regime,prob_pca_accel,regime,position_type,position_size,execution_style,total_pnl,curve_pnl,gamma_pnl,carry_pnl,cost_pnl,dv01_ratio
2012-02-01,0.018425073554928506,0.0973690520786307,0.1157941256335592,0.4197814207650273,-0.45314276973713125,0.25919589392643283,0.9991374122006376,,,,medium_uncertainty,small_flat,-0.22657138486856562,standard,-1.3910319293710198,-1.3836532403399089,0.0,-0.0022657138486856564,-0.005112975182425293,0.543136657690465
2012-02-02,0.018080054815202,0.0970338842697047,0.1151139390849067,0.4185245901639344,-0.46092896551221285,0.2545959811885421,0.9990822769823536,,,,medium_uncertainty,small_flat,-0.23046448275610643,standard,0.7876196763207868,0.7951456539223262,0.0,-0.002304644827561064,-0.005221332773978267,0.543136657690465
2012-02-03,0.016805811289578296,0.0979468094094289,0.1147526206990072,0.4172677595628415,-0.46871380140540836,0.2512820512820513,0.9989530115409618,,,,medium_uncertainty,small_flat,-0.23435690070270418,standard,2.978603345994027,2.9862776340565844,0.0,-0.002343569007027042,-0.005330719055530457,0.543136657690465
2012-02-06,0.017438862170746,0.09828761481222,0.115726476982966,0.4134972677595628,-0.49230812385817135,0.2375053395984622,0.9986617378169144,,,,medium_uncertainty,small_flat,-0.24615406192908568,standard,-1.5664108260878085,-1.5582804580721734,0.0,-0.002461540619290857,-0.0056688273963440075,0.543136657690465
2012-02-07,0.017822851661239106,0.0977119347978012,0.1155347864590403,0.4298907103825137,-0.38904372512981056,0.29227156276686594,0.999004352856514,,,,medium_uncertainty,small_flat,-0.19452186256490528,standard,-0.7531471880927658,-0.746943508960679,0.0,-0.0019452186256490528,-0.004258460506437855,0.543136657690465
2012-02-08,0.020083335011272796,0.0963653928576484,0.1164487278689212,0.4280327868852459,-0.400639078470864,0.2863849765258216,0.9990891980541368,,,,medium_uncertainty,small_flat,-0.200319539235432,standard,-4.534601337758412,-4.5281898312811455,0.0,-0.00200319539235432,-0.004408311084912254,0.543136657690465
2012-02-09,0.022243561209429788,0.0951218622669665,0.1173654234763963,0.4281420765027322,-0.39985210313536274,0.28668941979522183,0.9991716006739788,,,,medium_uncertainty,small_flat,-0.19992605156768137,standard,-4.325252280926378,-4.318854942905911,0.0,-0.001999260515676814,-0.004398077504790616,0.543136657690465
2012-02-10,0.02078118520157249,0.0946502766220109,0.1154314618235834,0.4375956284153005,-0.3402450419880282,0.320682302771855,0.9993706785992156,,,,medium_uncertainty,small_flat,-0.1701225209940141,standard,2.482481073837248,2.48783093097846,0.0,-0.001701225209940141,-0.00364863193127184,0.5459499141220766
2012-02-13,0.019480813834782187,0.0951879321181641,0.1146687459529463,0.4463934426229508,-0.28477184126012084,0.37169650468883203,0.9995455441773562,,,,medium_uncertainty,small_flat,-0.14238592063006042,standard,1.847129829764447,1.85154574221407,0.0,-0.0014238592063006042,-0.002992053243322545,0.5459499141220766
2012-02-14,0.0180109282366588,0.095029037964857,0.1130399662015158,0.446311475409836,-0.2852224568828759,0.3706859821048147,0.9995754080458812,,,,medium_uncertainty,small_flat,-0.14261122844143795,standard,2.0917985502236522,2.096221908167542,0.0,-0.0014261122844143794,-0.0029972456594749087,0.5459499141220766
2012-02-15,0.0183970856444457,0.0951633039113684,0.1135603895558141,0.4462295081967213,-0.28567308217710813,0.3696763202725724,0.9995637903235136,,,,medium_uncertainty,small_flat,-0.14283654108855406,standard,-0.5560046902098948,-0.5515738844400301,0.0,-0.0014283654108855407,-0.0030024403589792837,0.5459499141220766
2012-02-16,0.0179833467364532,0.0951596328409576,0.1131429795774108,0.434863387978142,-0.3572118810196946,0.3090676883780332,0.9994799272025984,,,,medium_uncertainty,small_flat,-0.1786059405098473,standard,0.7333192124526091,0.7389622678751717,0.0,-0.001786059405098473,-0.00385699601746419,0.5459499141220766
2012-02-17,0.0185827126699272,0.0941982706290267,0.1127809832989539,0.4334426229508197,-0.3660782816235862,0.30425531914893617,0.9993882685421424,,,,medium_uncertainty,small_flat,-0.1830391408117931,standard,-1.1028720501837947,-1.0970742549493875,0.0,-0.001830391408117931,-0.0039674038262892675,0.5375991084509836
2012-02-22,0.017968408459150903,0.0946868075001166,0.1126552159592675,0.424207650273224,-0.4241883093460449,0.27562739259889407,0.9995550260890672,,,,medium_uncertainty,small_flat,-0.21209415467302245,standard,1.296063456891479,1.3029033229667655,0.0,-0.0021209415467302243,-0.00471892452855609,0.5375991084509836
2012-02-23,0.0195050965578438,0.0949402556232763,0.1144453521811201,0.4540983606557378,-0.235674042795777,0.4298469387755102,0.9995712826903552,,,,medium_uncertainty,small_flat,-0.1178370213978885,standard,-1.8144044059903128,-1.810787483675553,0.0,-0.001178370213978885,-0.002438552100780786,0.5375991084509836
2012-02-24,0.020000879154983997,0.0961836143316616,0.1161844934866456,0.4609836065573769,-0.19221138969647608,0.4653633659158521,0.9995963626139268,,,,medium_uncertainty,small_flat,-0.09610569484823804,standard,-0.479402863837161,-0.47647530991822845,0.0,-0.0009610569484823805,-0.0019664969704501767,0.5462365054589112
2012-02-27,0.018431530700274687,0.0972247738775378,0.1156563045778125,0.4589071038251366,-0.20526365027502444,0.4568819031435854,0.9995939568432464,,,,medium_uncertainty,small_flat,-0.10263182513751222,standard,1.607517954534657,1.6106509618355094,0.0,-0.0010263182513751221,-0.002106689049477138,0.5462365054589112
