date,pca1,prob_low,prob_medium,prob_high,regime
2006-02-13,-3.650376363318165,,,,unknown
2006-02-14,-3.4586834611779476,,,,unknown
2006-02-15,-3.4105061334260474,,,,unknown
2006-02-16,-2.9943459448193797,,,,unknown
2006-02-17,-3.1391980763613554,,,,unknown
2006-02-20,-3.728347841546788,,,,unknown
2006-02-21,-3.668499562165552,,,,unknown
2006-02-22,-3.707769131341464,,,,unknown
2006-02-23,-3.7215083218964438,0.9245964862782581,0.06540351372174193,0.01,low
2006-02-24,-3.7233898483824364,0.8794748495720781,0.1105251504279219,0.01,low
2006-03-01,-3.451521641961904,0.15000058536930447,0.7,0.2999994146306955,medium
2006-03-02,-3.5693468885210318,0.22160664207819425,0.7,0.22839335792180573,medium
2006-03-03,-3.5729148837759777,0.22690616477035935,0.7,0.22309383522964066,medium
2006-03-06,-3.830111577720912,0.99,8.673617379884035e-18,0.01,low
2006-03-07,-3.498333836751611,0.17039494378756498,0.7,0.27960505621243503,medium
2006-03-08,-3.59164868176395,0.2309589384314964,0.7,0.2190410615685036,medium
2006-03-09,-3.6233283580529787,0.2572264741258269,0.7,0.19277352587417307,medium
2006-03-10,-3.4412499915875134,0.01,0.3717225327727136,0.6182774672272864,high
2006-03-13,-3.049332947642862,0.01,0.037811349027039205,0.9521886509729608,high
2006-03-14,-3.074394659477028,0.01,0.060513596531965315,0.9294864034680347,high
2006-03-15,-3.1156566693168917,0.01,0.09857941782022596,0.891420582179774,high
2006-03-16,-3.618506945369807,0.28199754508664054,0.7,0.16800245491335947,medium
2006-03-17,-3.701538693655008,0.7018350771496167,0.2881649228503833,0.01,low
2006-03-20,-3.7056242938849504,0.6854551458036247,0.30454485419637534,0.01,low
2006-03-21,-3.672261061337798,0.6018973057581847,0.3881026942418153,0.01,low
2006-03-22,-3.7011421873892596,0.6402774340108996,0.34972256598910034,0.01,low
2006-03-23,-3.631710235729208,0.2685259926194481,0.7,0.1814740073805519,medium
2006-03-24,-3.6825721779401586,0.6027760683060575,0.38722393169394254,0.01,low
2006-03-27,-3.6660280118603144,0.29086360402905265,0.7,0.15913639597094736,medium
2006-03-28,-3.5977046528478858,0.23834603699848073,0.7,0.21165396300151929,medium
2006-03-29,-3.669199688166495,0.29735979610676766,0.7,0.15264020389323235,medium
2006-03-30,-3.6364321742318455,0.2654820849212246,0.7,0.1845179150787754,medium
2006-03-31,-3.593680846692494,0.21109676196751637,0.7,0.23890323803248362,medium
2006-04-03,-3.5894769502069344,0.18808323442789066,0.7,0.2619167655721093,medium
2006-04-04,-3.5272823317214073,0.01,0.38378375784630736,0.6062162421536926,high
2006-04-05,-3.527677936629285,0.15021093771325159,0.7,0.2997890622867484,medium
2006-04-06,-3.4430263143740585,0.01,0.33045970785547774,0.6595402921445223,high
2006-04-07,-3.4716950938603612,0.01,0.36669399116652956,0.6233060088334704,high
2006-04-10,-3.2677025383165494,0.01,0.21406100882410695,0.775938991175893,high
