date,EPU
1991-01-31,111.85437774658203
1991-02-28,146.82421875
1991-03-31,124.65119934082031
1991-04-30,153.10768127441406
1991-05-31,119.10420227050781
1991-06-30,63.612857818603516
1991-07-31,86.6436767578125
1991-08-31,68.60401916503906
1991-09-30,79.24053955078125
1991-10-31,136.5848846435547
1991-11-30,143.63328552246094
1991-12-31,59.7756233215332
1992-01-31,67.27913665771484
1992-02-29,76.46195983886719
1992-03-31,12.843494415283203
1992-04-30,34.6215934753418
1992-05-31,16.701353073120117
1992-06-30,81.78667449951172
1992-07-31,107.31517791748047
1992-08-31,89.90445709228516
1992-09-30,126.91127014160156
1992-10-31,82.98873138427734
1992-11-30,135.09637451171875
1992-12-31,125.3481674194336
1993-01-31,128.73155212402344
1993-02-28,78.50811767578125
1993-03-31,123.47637939453125
1993-04-30,76.80233001708984
1993-05-31,113.68843078613281
1993-06-30,56.74964904785156
1993-07-31,75.42728424072266
1993-08-31,91.92247009277344
1993-09-30,91.64659118652344
1993-10-31,99.8342056274414
1993-11-30,36.05482864379883
1993-12-31,143.66175842285156
1994-01-31,104.131103515625
1994-02-28,158.2762451171875
1994-03-31,107.24805450439453
1994-04-30,110.32313537597656
1994-05-31,122.6108169555664
1994-06-30,113.00463104248047
1994-07-31,75.2164535522461
1994-08-31,63.97792434692383
1994-09-30,39.36957931518555
1994-10-31,47.87550354003906
1994-11-30,40.91065216064453
1994-12-31,41.50466537475586
1995-01-31,58.10653305053711
1995-02-28,60.68673324584961
1995-03-31,47.97483825683594
1995-04-30,65.0670394897461
1995-05-31,12.689986228942871
1995-06-30,24.82884979248047
1995-07-31,46.042964935302734
1995-08-31,41.37702560424805
1995-09-30,39.50910568237305
1995-10-31,39.8148307800293
1995-11-30,74.45338439941406
1995-12-31,61.93418502807617
1996-01-31,39.87179183959961
1996-02-29,14.630122184753418
1996-03-31,67.86368560791016
1996-04-30,72.42980194091797
1996-05-31,62.983917236328125
1996-06-30,70.79920959472656
1996-07-31,49.002872467041016
1996-08-31,29.649341583251953
1996-09-30,18.508277893066406
1996-10-31,91.75434112548828
1996-11-30,66.43714141845703
