date,median_1y,median_3y,median_4y,std_1y,std_3y,std_4y
2001-11-06,3.484931506849315,2.363013698630137,2.037671232876712,0.57,0.4072602739726027,0.05273972602739727
2001-11-07,3.4852054794520546,2.360958904109589,2.036986301369863,0.52,0.3988219178082192,0.051780821917808195
2001-11-08,3.4854794520547947,2.786301369863014,2.963698630136986,0.5114520547945206,0.6885479452054794,0.7498356164383562
2001-11-09,3.4857534246575343,2.7856164383561643,2.9643835616438357,0.5014246575342466,0.6871506849315069,0.7500273972602739
2001-11-12,3.4865753424657537,2.9134246575342466,3.003890410958904,0.14402739726027397,0.5637534246575342,0.6259726027397261
2001-11-13,3.4868493150684934,2.9565753424657535,3.019479452054794,0.13526027397260273,0.5644931506849314,0.6086849315068493
2001-11-14,3.487123287671233,2.980301369863014,3.0135616438356165,0.13643835616438357,0.5216712328767124,0.7155342465753425
2001-11-16,3.4876712328767123,2.97986301369863,3.013835616438356,0.13616438356164384,0.5228767123287672,0.7165753424657534
2001-11-19,3.4884931506849313,2.946904109589041,3.010794520547945,0.13575342465753423,0.48928767123287675,0.7135342465753425
2001-11-20,3.488767123287671,2.9467397260273973,3.011013698630137,0.13561643835616438,0.48978082191780825,0.7141643835616438
2001-11-21,3.489041095890411,2.910958904109589,2.989041095890411,0.13438356164383564,0.4635616438356164,0.658082191780822
2001-11-22,3.4893150684931507,2.9017534246575343,2.764958904109589,0.13427397260273974,0.43717808219178084,0.6196986301369863
2001-11-23,3.4895890410958907,2.901452054794521,2.7645753424657533,0.1431232876712329,0.44854794520547947,0.6123013698630136
2001-11-26,3.4904109589041097,2.9005479452054796,2.7634246575342467,0.14287671232876714,0.44945205479452055,0.6136986301369863
2001-11-27,3.4906849315068493,2.9093150684931506,2.9906849315068493,0.14279452054794523,0.44068493150684934,0.5860273972602739
2001-11-28,3.490958904109589,2.9090410958904105,2.990958904109589,0.1618082191780822,0.44095890410958904,0.5864383561643836
2001-11-29,3.4912328767123286,2.8996438356164385,2.8535068493150684,0.16263013698630138,0.4212328767123288,0.5577260273972602
2001-11-30,3.4915068493150687,2.881041095890411,2.7144383561643837,0.1533972602739726,0.4215068493150685,0.5398082191780822
2001-12-03,3.4923287671232877,2.879972602739726,2.713041095890411,0.15306849315068494,0.42232876712328765,0.5407945205479453
2001-12-04,3.4926027397260273,2.8796164383561647,2.7125753424657533,0.15295890410958904,0.4226027397260274,0.5411232876712329
2001-12-05,3.492876712328767,2.8792602739726028,2.7121095890410962,0.16213698630136986,0.4228767123287671,0.5414520547945205
2001-12-06,3.4931506849315066,2.8789041095890413,2.7116438356164387,0.16205479452054794,0.42315068493150687,0.5417808219178083
2001-12-07,3.496054794520548,2.900520547945206,2.6190684931506847,0.1713150684931507,0.3767123287671233,0.5294794520547946
2001-12-10,3.4971232876712333,2.899205479452055,2.8523013698630137,0.16057534246575342,0.38654794520547947,0.45597260273972606
2001-12-11,3.4972602739726026,2.905479452054794,2.9945205479452057,0.16054794520547946,0.3678082191780822,0.4456164383561644
2001-12-12,3.498958904109589,2.9052054794520545,2.9947945205479454,0.15156164383561643,0.3673972602739726,0.4458356164383561
2001-12-13,3.499013698630137,2.904931506849315,2.995068493150685,0.14197260273972603,0.36753424657534245,0.44605479452054797
2001-12-14,3.5,2.9046575342465752,2.9953424657534247,0.16093150684931506,0.36767123287671233,0.4462739726027397
